date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
2003-04-14,7.340265274047852,0.0,,,,,0.379291586000287,,,,,1.26,2.3,2.92,,,1.00005,0.0,1.00005,1.0,1.0,1.0,0,0,0
2003-04-15,7.4274749755859375,0.011881001337434416,,,,,0.3837575214773947,,,,,1.26,2.29,2.92,,,1.0355077912927237,0.0,1.0355077912927237,1.0,1.0,1.0,0,0,0
2003-04-16,7.513232231140137,0.011545950115763759,0.023564128901965464,,,,0.38814747583741266,,,,,1.26,2.29,2.9,,,1.0711821181622772,0.0,1.0711821181622772,1.0,1.0,1.0,0,0,0
2003-04-17,7.567013740539551,0.007158238657458904,0.01878683743967846,,,,0.39088474889602665,,,,,1.26,2.27,2.86,,,1.0939878945354347,0.0,1.0939878945354347,1.0,1.0,1.0,0,0,0
2003-04-21,7.564105033874512,-0.0003843929408315905,0.006771094140218592,,,,0.39056988539893434,,,,,1.26,2.29,2.84,,,1.0925290389385156,0.0,1.0925290389385156,1.0,1.0,1.0,0,0,0
2003-04-22,7.589541912078857,0.0033628404273118306,0.002977154834358675,0.03396016747682751,,,0.3918420295432336,,,,,1.26,2.31,2.83,,,1.1033517950707763,0.0,1.1033517950707763,1.0,1.0,1.0,0,0,0
2003-04-23,7.625155925750732,0.004692511627769624,0.0080711322228888,0.026614825470913095,,,0.3936392834287081,,,,,1.26,2.32,2.79,,,1.118682253709491,0.0,1.118682253709491,1.0,1.0,1.0,0,0,0
2003-04-24,7.474713325500488,-0.01972977362235806,-0.015129844186724584,-0.005126808869290511,,,0.3858322225472523,,,,,1.26,2.31,2.8,,,1.0522781875319187,0.0,1.0522781875319187,1.0,1.0,1.0,0,0,0
2003-04-25,7.35116720199585,-0.0165285433868283,-0.035932212589856904,-0.0285246658648608,,,0.37941500703174014,,,,,1.26,2.34,2.82,,,0.99991974221787,0.0,0.99991974221787,1.0,1.0,1.0,0,0,0
2003-04-28,7.4725341796875,0.01650989215137133,-0.0002915357041927136,-0.01210597338044983,,,0.38555724115603646,,,,,1.26,2.33,2.79,,,1.0492559659766956,0.0,1.0492559659766956,1.0,1.0,1.0,0,0,0
2003-04-29,7.685474872589111,0.028496449501756116,0.045476814961098455,0.012640151622006934,,,0.396502482579906,,,,,1.26,2.34,2.77,,,1.1387505361922268,0.0,1.1387505361922268,1.0,1.0,1.0,0,0,0
2003-04-30,7.663673400878906,-0.0028367110779272675,0.0255789022298456,0.005051368851107352,0.04405946035417707,,0.3953360714462952,0.04230119000318666,,,,1.26,2.38,2.76,,,1.1288557655032503,0.0,1.1288557655032503,1.0,1.0,1.0,0,0,0
2003-05-01,7.633877277374268,-0.003887968855930346,-0.006713650889533351,0.021293653006166924,0.02778902688555296,,0.393757535260801,0.02605815710115089,,,,1.26,2.38,2.77,,,1.115487459505753,0.0,1.115487459505753,1.0,1.0,1.0,0,0,0
2003-05-02,7.750881671905518,0.015326994432833585,0.011379434699893443,0.05437428627676222,0.03163078598587621,,0.39975054160400103,0.02989344640604763,,,,1.26,2.38,2.73,,,1.1665680076637188,0.0,1.1665680076637188,1.0,1.0,1.0,0,0,0
2003-05-05,7.834460258483887,0.010783107021400617,0.02627537407551972,0.048434181777342156,0.035343733619977113,,0.40393341942117106,0.03338239867888859,,,,1.26,2.37,2.71,,,1.2040882530895913,0.0,1.2040882530895913,1.0,1.0,1.0,0,0,0
2003-05-06,7.874433994293213,0.005102296072794443,0.01594042169880283,0.024586525209787657,0.041026527134267354,,0.40595164083526275,0.03938285057645241,,,,1.26,2.39,2.74,,,1.2222983713537579,0.0,1.2222983713537579,1.0,1.0,1.0,0,0,0
2003-05-07,7.859897613525391,-0.0018460223018387234,0.0032468548186146418,0.025604459164971782,0.03562213695878769,,0.4051595620118112,0.033986993391448284,,,,1.26,2.27,2.78,,,1.215309737190699,0.0,1.215309737190699,1.0,1.0,1.0,0,0,0
2003-05-08,7.79085636138916,-0.008783988740187043,-0.010613795602912313,0.020563480170182613,0.02173076029551657,,0.40155834132410634,0.02011754981977676,,,,1.26,2.21,2.67,,,1.1830702939328381,0.0,1.1830702939328381,1.0,1.0,1.0,0,0,0
2003-05-09,7.882424831390381,0.0117533254052824,0.0028660955870754012,0.01697138016719646,0.054545437147262454,,0.40623519082177467,0.052880415585361495,,,,1.26,2.24,2.81,,,1.2245641891599757,0.0,1.2245641891599757,1.0,1.0,1.0,0,0,0
2003-05-12,7.9921674728393555,0.013922446936879496,0.025839407391448743,0.02012993992594314,0.08719707404689059,,0.4117608295715459,0.0852518269977125,,,,1.26,2.18,2.83,,,1.2754806491589088,0.0,1.2754806491589088,1.0,1.0,1.0,0,0,0
2003-05-13,7.947107791900635,-0.005637980071345083,0.008205972387159921,0.009229082072449879,0.06350905874785595,,0.40939620085478284,0.061829884525755,,,,1.26,2.16,2.83,,,1.2536808525484129,0.0,1.2536808525484129,1.0,1.0,1.0,0,0,0
2003-05-14,7.907137393951416,-0.005029552762572886,-0.010639176315674903,0.006010228472281165,0.028841746936533852,0.07722774296833523,0.40729421313802266,0.027217308925529426,0.07382875911651388,0.011369611022755643,,1.26,2.12,2.83,,,1.234541553623689,0.0,1.234541553623689,1.0,1.0,1.0,0,0,0
2003-05-15,7.92312479019165,0.0020218943270751133,-0.0030178276596961595,0.016977392813709358,0.03385470331799234,0.06673194002469351,0.40807472884692253,0.0322223503512451,0.06336607364960845,0.011348559397253564,,1.26,2.07,2.83,-0.22999999999999998,-0.08999999999999986,1.2418056426070134,0.0,1.2418056426070134,1.0,1.0,1.0,0,0,0
2003-05-16,7.928938865661621,0.0007338109172745355,0.0027571889324804477,0.005900980379287102,0.0386516022679424,0.05532993280821308,0.40833116137308145,0.03701167547848394,0.05200004326222474,0.011206401660984,,1.26,2.08,2.84,-0.20999999999999996,-0.08000000000000007,1.244314692420765,0.0,1.244314692420765,1.0,1.0,1.0,0,0,0
2003-05-19,7.7399821281433105,-0.023831276885818653,-0.02311495361969551,-0.03155406159256213,-0.0014062327646819917,0.02285820979511355,0.39847415891056637,-0.003192948002804896,0.019415978842803217,0.012401311835957584,,1.26,2.11,2.86,-0.18000000000000016,-0.040000000000000036,1.1551452691788011,0.0,1.1551452691788011,1.0,1.0,1.0,0,0,0
2003-05-20,7.778501033782959,0.004976614286949177,-0.018973261671895725,-0.02121611566531323,-0.007142703243702031,0.02834386869937844,0.4004150278923726,-0.008710325414124531,0.02520712134112002,0.012361950702504761,,1.26,2.07,2.86,-0.20000000000000018,0.0,1.172179731061257,0.0,1.172179731061257,1.0,1.0,1.0,0,0,0
2003-05-21,7.785040378570557,0.0008406947250114705,0.005821492825339947,-0.01544136762746251,-0.01135238618895551,0.02575892837228566,0.40070944046774115,-0.012913361691889058,0.022630065832509594,0.012356634288368454,,1.26,2.01,2.86,-0.28000000000000025,0.020000000000000018,1.1749238959945107,0.0,1.1749238959945107,1.0,1.0,1.0,0,0,0
2003-05-22,7.8555378913879395,0.009055510233631825,0.009903817878329058,-0.008530333750060293,-0.0005546792530667366,0.03021341043783643,0.4042954768958684,-0.0021327032531385237,0.027070960434492086,0.01245926120296244,,1.26,1.98,2.85,-0.33000000000000007,0.020000000000000018,1.2066246064672645,0.0,1.2066246064672645,1.0,1.0,1.0,0,0,0
2003-05-23,7.936206340789795,0.01026899119031599,0.01941749237876067,0.0009165760073706064,0.018656483017833292,0.06174056384408644,0.40840415873128577,0.017048126517820394,0.05850194686958554,0.012580432860893578,,1.26,1.96,2.81,-0.3599999999999999,0.020000000000000018,1.2435724910582557,0.0,1.2435724910582557,1.0,1.0,1.0,0,0,0
2003-05-27,8.220367431640625,0.03580565810018377,0.04644233727809399,0.062065428000225964,0.042872923938893415,0.11823975781815799,0.4228491237912357,0.04089732584676531,0.11447653876237429,0.013567773878025333,,1.26,2.08,2.83,-0.22999999999999998,0.03000000000000025,1.3769046401112497,0.0,1.3769046401112497,1.0,1.0,1.0,0,0,0
2003-05-28,8.255982398986816,0.004332527425612076,0.04029331452150697,0.06138475306875946,0.03300918393464758,0.10484371171281559,0.4246363943166147,0.031269523034685776,0.10135759101140263,0.012737656063023201,,1.26,2.09,2.83,-0.25,0.010000000000000231,1.3945492398877906,0.0,1.3945492398877906,1.0,1.0,1.0,0,0,0
2003-05-29,8.266880989074707,0.0013200839780409535,0.005658330703691927,0.061893142112722455,0.040237682128833274,0.07564999250198956,0.4251521607815661,0.038485847924055516,0.07225598693669322,0.012514629554741226,,1.26,2.04,2.87,-0.29000000000000004,0.08000000000000007,1.3998192229734567,0.0,1.3998192229734567,1.0,1.0,1.0,0,0,0
2003-05-30,8.36281681060791,0.011604838833411124,0.012940242173263838,0.06457596236358332,0.057628872998345404,0.09122823653325618,0.4300406788523153,0.05584775079184423,0.08778507683110459,0.011457132325018778,,1.26,2.04,2.85,-0.2999999999999998,0.08000000000000007,1.4482917158729351,0.0,1.4482917158729351,1.0,1.0,1.0,0,0,0
2003-06-02,8.423136711120605,0.007212868807096484,0.018901411820540615,0.061355558237961905,0.06310791943450633,0.10338906496251798,0.43300564166363953,0.06109398856224968,0.09967582303369249,0.011375425200955358,,1.26,2.1,2.85,-0.2799999999999998,0.0900000000000003,1.4793635827159308,0.0,1.4793635827159308,1.0,1.0,1.0,0,0,0
2003-06-03,8.35917854309082,-0.007593153266210795,-0.00043505287745571053,0.01688624171662978,0.054261949135774756,0.07848099054204183,0.42967249801393587,0.0522647758968251,0.07485157190750225,0.01152982301753661,,1.26,2.14,2.88,-0.23999999999999977,0.10999999999999988,1.4454034644882656,0.0,1.4454034644882656,1.0,1.0,1.0,0,0,0
2003-06-04,8.466740608215332,0.012867540102180941,0.005176681631815283,0.02552793829288924,0.09389666126352658,0.08070502994086315,0.435155483040066,0.09205446152339425,0.07729507418236303,0.0114282461386558,,1.26,2.1,2.87,-0.2799999999999998,0.14000000000000012,1.5009287837338463,0.0,1.5009287837338463,1.0,1.0,1.0,0,0,0
2003-06-05,8.475460052490234,0.0010298466291080999,0.01391063832408812,0.025230684183210172,0.08960068471808369,0.07632625514831903,0.4355577409971835,0.08776571970784497,0.07293011576700348,0.011344928574648958,,1.26,2.09,2.87,-0.28000000000000025,0.16000000000000014,1.5052941328885427,0.0,1.5052941328885427,1.0,1.0,1.0,0,0,0
2003-06-06,8.554680824279785,0.009347076300155965,0.010386548984283817,0.02294251064168984,0.09886145842323102,0.08839596199813138,0.43958262296901723,0.09701089761174608,0.08496173899063142,0.011406870877978665,,1.26,2.1,2.83,-0.29000000000000004,0.08999999999999986,1.5472250280433424,0.0,1.5472250280433424,1.0,1.0,1.0,0,0,0
2003-06-09,8.481277465820312,-0.0085804906071002,0.0006863831926584574,0.006902506357631344,0.07965585337171799,0.08861941132079165,0.43567308109183595,0.0776105744167137,0.08495587379716474,0.011654267012254698,,1.26,2.1,2.87,-0.16999999999999993,0.0900000000000003,1.5071250177658004,0.0,1.5071250177658004,1.0,1.0,1.0,0,0,0
2003-06-10,8.568490028381348,0.010282951231403992,0.0016142278578494818,0.02503971941878569,0.07967077221036933,0.08703732819104504,0.4401067214580435,0.07762546499340828,0.0833791148613936,0.011401218014812762,,1.26,2.07,2.89,-0.14000000000000012,0.2200000000000002,1.5533375909261216,0.0,1.5533375909261216,1.0,1.0,1.0,0,0,0
2003-06-11,8.575752258300781,0.0008475507231004986,0.011139217277256197,0.012875279299294329,0.043232231358936835,0.07301958917210949,0.44043333514022837,0.04158507221520025,0.06963388333590981,0.01130274005123557,,1.26,2.05,2.87,-0.1900000000000004,0.06000000000000005,1.5570060196546875,0.0,1.5570060196546875,1.0,1.0,1.0,0,0,0
2003-06-12,8.640438079833984,0.0075428743257586195,0.008396818017448071,0.019465377256456584,0.04656692108432159,0.08724309599021218,0.44370872429018504,0.0449144967997015,0.08381251062848327,0.011113614187197807,,1.26,2.05,2.88,-0.13000000000000034,0.04999999999999982,1.591951442838674,0.0,1.591951442838674,1.0,1.0,1.0,0,0,0
2003-06-13,8.637527465820312,-0.0003368595419328546,0.007203473894635604,0.009684363828676545,0.04483510494894527,0.09237098528572552,0.44351253329515833,0.043185415028445195,0.08892421986084575,0.010959963011550099,,1.26,2.03,2.88,-0.13000000000000034,0.04999999999999982,1.5900555141011752,0.0,1.5900555141011752,1.0,1.0,1.0,0,0,0
2003-06-16,8.73055362701416,0.010769998887061538,0.010429511368236888,0.0293913460794597,0.04397284129670154,0.10190787829343018,0.4481475125639008,0.04210493239827606,0.09819962101110757,0.010867603991793212,,1.26,2.0,2.87,-0.1200000000000001,0.040000000000000036,1.6411338419506747,0.0,1.6411338419506747,1.0,1.0,1.0,0,0,0
2003-06-17,8.910063743591309,0.020561137843733812,0.03155258016248896,0.039863933327642265,0.057808278456152884,0.12373974557663825,0.45731375792530227,0.05613810519481732,0.11995801737861167,0.011367950710043945,,1.26,2.02,2.85,-0.04999999999999982,0.020000000000000018,1.7420499951626391,0.0,1.7420499951626391,1.0,1.0,1.0,0,0,0
2003-06-18,8.877360343933105,-0.0036703889668270318,0.01681528150341971,0.035169869248541596,0.061989560118988374,0.14694842920297968,0.4555872430212177,0.06031278503294235,0.14332945520683027,0.011492351372542035,,1.26,2.1,2.83,0.020000000000000018,-0.009999999999999787,1.7225569278079758,0.0,1.7225569278079758,1.0,1.0,1.0,0,0,0
2003-06-19,8.877360343933105,0.0,-0.0036703889668270318,0.027420168041256687,0.048497970437330506,0.14126877471349153,0.4555392525443359,0.04684249721930556,0.13766772176887465,0.00959021163017404,,1.26,2.18,2.87,0.07000000000000028,0.010000000000000231,1.7222459198617082,0.0,1.7222459198617082,1.0,1.0,1.0,0,0,0
2003-06-20,8.877360343933105,0.0,0.0,0.027766380953558656,0.047419289213071814,0.14031012200904147,0.4554912671226568,0.04576551912459803,0.1367120939076698,0.009681048248282408,,1.26,2.18,2.86,0.11000000000000032,0.0,1.721934968067978,0.0,1.721934968067978,1.0,1.0,1.0,0,0,0
2003-06-23,8.659332275390625,-0.02456001109513184,-0.02456001109513184,-0.00815771309200386,0.012233238534606672,0.10232200456748974,0.44416400543190493,0.01042211912733082,0.09861235362349885,0.011648892181322534,,1.26,2.15,2.88,0.14000000000000012,0.020000000000000018,1.5947747534560506,0.0,1.5947747534560506,1.0,1.0,1.0,0,0,0
2003-06-24,8.595377922058105,-0.007385598715766384,-0.03176421942449481,-0.035318021350806306,0.013453215827169851,0.08305877556136121,0.4408371466949389,0.011853074764594851,0.07941395127906326,0.011895322198501576,,1.26,2.15,2.87,0.16999999999999993,0.020000000000000018,1.5591580972480632,0.0,1.5591580972480632,1.0,1.0,1.0,0,0,0
2003-06-25,8.66659927368164,0.008286005835852928,0.0008392100060263807,-0.023741412096164538,0.011450004023500826,0.05428368570526976,0.4444431043532341,0.009853025831608297,0.05106781437404506,0.011854323075134576,,1.26,2.08,2.85,0.1200000000000001,0.040000000000000036,1.5976271725793563,0.0,1.5976271725793563,1.0,1.0,1.0,0,0,0
2003-06-26,8.760353088378906,0.010817831970375336,0.019193474425066137,-0.013180410732584913,0.02152590519384967,0.06109154126273175,0.44920369214281236,0.019913018163785434,0.0578549039955345,0.009664250394789443,,1.26,2.14,2.8,0.06000000000000005,-0.03000000000000025,1.6491779463632648,0.0,1.6491779463632648,1.0,1.0,1.0,0,0,0
2003-06-27,8.719654083251953,-0.004645817892996007,0.006121756400047973,-0.01776499483756233,0.009168054059996322,0.05476951885186443,0.4470696753744821,0.007574678838406124,0.05155216558849096,0.009791413639361438,,1.26,2.2,2.8,0.11000000000000032,-0.03000000000000025,1.625898995775999,0.0,1.625898995775999,1.0,1.0,1.0,0,0,0
2003-06-30,8.713839530944824,-0.0006668329100688597,-0.005309552818799634,0.0062946257079319334,0.008834943266633477,0.04197422092178971,0.4466303839138001,0.007029904195665404,0.03857705997897476,0.009812272021925833,,1.26,2.22,2.81,0.18000000000000016,-0.06000000000000005,1.6223534178183903,0.0,1.6223534178183903,1.0,1.0,1.0,0,0,0
2003-07-01,8.808318138122559,0.01084236252483417,0.010168299570610717,0.02477380494439818,0.008907168368770924,0.04572897724590175,0.45142535536771666,0.007314205059541612,0.04253920025916336,0.009779660347542735,,1.01,2.26,2.81,0.21999999999999975,-0.040000000000000036,1.6748688846654323,0.0,1.6748688846654323,1.0,1.0,1.0,0,0,0
2003-07-02,9.015443801879883,0.02351478006463914,0.034612098359625865,0.0402516047162349,0.011827082422880553,0.07850834330264322,0.4619918530647067,0.010229508861984815,0.0752185797326097,0.010732277019444297,,1.01,2.26,2.75,0.1599999999999997,-0.10000000000000009,1.7927484954121131,0.0,1.7927484954121131,1.0,1.0,1.0,0,0,0
2003-07-03,9.040879249572754,0.00282131953255238,0.026402442305491602,0.03202224366572404,0.018419766609045984,0.06781105834284462,0.46324647728050045,0.016811783860519514,0.06455392459767761,0.010462193717685803,,1.01,2.35,2.72,0.20999999999999996,-0.1599999999999997,1.8076470668143114,0.0,1.8076470668143114,1.0,1.0,1.0,0,0,0
2003-07-07,9.264725685119629,0.024759365695261604,0.02765053930986361,0.06251069098195172,0.043635194041802494,0.09312363314101102,0.4745161759323894,0.04165815192008404,0.0894449375323072,0.011240840301073321,,1.01,2.38,2.7,0.2799999999999998,-0.16999999999999993,1.941620078824509,0.0,1.941620078824509,1.0,1.0,1.0,0,0,0
2003-07-08,9.290885925292969,0.002823638935727679,0.027652916139990324,0.06622182934387544,0.0465820430103947,0.08605874563124494,0.4758059127388053,0.04459941843556359,0.08240382553143188,0.01122352702084699,,1.01,2.36,2.68,0.27,-0.18999999999999995,1.9577693502685607,0.0,1.9577693502685607,1.0,1.0,1.0,0,0,0
2003-07-09,9.269083976745605,-0.002346595224897885,0.00047041777318646005,0.052310308437753195,0.07041555653059572,0.0928877181651191,0.47463938620449125,0.06861290064005088,0.08943932228955309,0.011247223626789206,,1.01,2.36,2.68,0.2599999999999998,-0.1499999999999999,1.943691186042607,0.0,1.943691186042607,1.0,1.0,1.0,0,0,0
2003-07-10,9.10628890991211,-0.017563231409049473,-0.019868612838989108,0.010076609652126534,0.05944020059232824,0.0627647204757682,0.4662540655600211,0.05765602798139602,0.05941137189487411,0.011861048815167337,,1.01,2.37,2.71,0.27,-0.16000000000000014,1.8409984370686878,0.0,1.8409984370686878,1.0,1.0,1.0,0,0,0
2003-07-11,9.182600975036621,0.008380149793122182,-0.009330264125986365,0.01567565737265708,0.05953912083162227,0.07076332180053924,0.470111818792992,0.05775478163197456,0.06738473517976207,0.01181458368657642,,1.01,2.37,2.73,0.30000000000000027,-0.16000000000000014,1.8869947083736558,0.0,1.8869947083736558,1.0,1.0,1.0,0,0,0
