date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
2004-08-19,2.4938108921051025,0.0,,,,,0.5284836721925714,,,,,1.61,1.79,2.2,,,1.0000638888888889,0.0,1.0000638888888889,1.0,1.0,1.0,0,0,0
2004-08-20,2.6918935775756836,0.07942971381577912,,,,,0.5701887069046777,,,,,1.61,1.78,2.19,,,1.2380955270209402,0.0,1.2380955270209402,1.0,1.0,1.0,0,0,0
2004-08-23,2.718984842300415,0.010064017742161147,0.09029311360703707,,,,0.5751028466372871,,,,,1.61,1.78,2.19,,,1.275195273406482,0.0,1.275195273406482,1.0,1.0,1.0,0,0,0
2004-08-24,2.6063973903656006,-0.04140789980997428,-0.0317606119061663,,,,0.5510259239216021,,,,,1.61,1.78,2.18,,,1.1165398479563182,0.0,1.1165398479563182,1.0,1.0,1.0,0,0,0
2004-08-25,2.6344826221466064,0.010775498734314715,-0.031078591847652604,,,,0.5566976730756579,,,,,1.61,1.75,2.18,,,1.1523798231997195,0.0,1.1523798231997195,1.0,1.0,1.0,0,0,0
2004-08-26,2.6819522380828857,0.018018572427553448,0.02898823026625541,0.07544330910310815,,,0.566458079712168,,,,,1.61,1.74,2.19,,,1.2144050323167666,0.0,1.2144050323167666,1.0,1.0,1.0,0,0,0
2004-08-27,2.638209819793701,-0.01630991695827233,0.0014147740492809202,-0.019942748936727983,,,0.5569532434419878,,,,,1.61,1.75,2.18,,,1.1547301329867925,0.0,1.1547301329867925,1.0,1.0,1.0,0,0,0
2004-08-30,2.5353167057037354,-0.03900111102535875,-0.054674923101527106,-0.06755026131049924,,,0.5344654410153887,,,,,1.61,1.72,2.19,,,1.0193983058442027,0.0,1.0193983058442027,1.0,1.0,1.0,0,0,0
2004-08-31,2.5442638397216797,0.003529000537808802,-0.035609745429333484,-0.023838863127163212,,,0.5360955776066304,,,,,1.61,1.72,2.19,,,1.0299637972095992,0.0,1.0299637972095992,1.0,1.0,1.0,0,0,0
2004-09-01,2.491574287414551,-0.020709154249070605,-0.017253236327744226,-0.05424531311412195,,,0.5247429203937565,,,,,1.61,1.72,2.2,,,0.9657620219736568,0.0,0.9657620219736568,1.0,1.0,1.0,0,0,0
2004-09-02,2.5228896141052246,0.012568490070255622,-0.008400946978357915,-0.05930852224697425,,,0.5310845471693391,,,,,1.61,1.74,2.17,,,1.0019558225695608,0.0,1.0019558225695608,1.0,1.0,1.0,0,0,0
2004-09-03,2.485609292984009,-0.014776834036965059,-0.0023940664585729854,-0.05784245273623656,-0.0032887814978507235,,0.5229870661942417,-0.010400711105274851,,,,1.61,1.69,2.15,,,0.9573277379700625,0.0,0.9573277379700625,1.0,1.0,1.0,0,0,0
2004-09-07,2.5246293544769287,0.015698388963647503,0.0006895824383188476,-0.004215391001354263,-0.06213626886743151,,0.5301837179955595,-0.07016096324721854,,,,1.61,1.68,2.13,,,1.0021924848728703,0.0,1.0021924848728703,1.0,1.0,1.0,0,0,0
2004-09-08,2.5425240993499756,0.007088068132184988,0.022897728346372492,-0.0006837892928174272,-0.06489949491632463,,0.5336868542687901,-0.07201493195636655,,,,1.61,1.68,2.15,,,1.0232779033394697,0.0,1.0232779033394697,1.0,1.0,1.0,0,0,0
2004-09-09,2.542772054672241,9.752329282908256e-05,0.007186282676758138,0.020548360735740845,-0.024411218307901494,,0.5334841559166191,-0.03183474178517731,,,,1.61,1.72,2.15,,,1.0233518599637346,0.0,1.0233518599637346,1.0,1.0,1.0,0,0,0
2004-09-10,2.617830753326416,0.02951845349891169,0.029618855528525057,0.0376319037861923,-0.006320735874363992,,0.548969643403013,-0.013881914810149665,,,,1.61,1.69,2.16,,,1.1137298207377955,0.0,1.1137298207377955,1.0,1.0,1.0,0,0,0
2004-09-13,2.671762704849243,0.02060177169753885,0.05072835763629957,0.07489246696601892,-0.003799297052704542,,0.5594775356604881,-0.01232314323281769,,,,1.61,1.66,2.15,,,1.1823038056778754,0.0,1.1823038056778754,1.0,1.0,1.0,0,0,0
2004-09-14,2.7709286212921143,0.03711628890652796,0.05848272191437909,0.0975585847397451,0.05030638598289783,,0.5799663244515741,0.0413195924084484,,,,1.61,1.68,2.15,,,1.3136626213157454,0.0,1.3136626213157454,1.0,1.0,1.0,0,0,0
2004-09-15,2.783604145050049,0.004574467801347959,0.04186054397638439,0.0948191782180976,0.09793152815493933,,0.582341286595784,0.0895770650567036,,,,1.61,1.67,2.14,,,1.3313972635801194,0.0,1.3313972635801194,1.0,1.0,1.0,0,0,0
2004-09-16,2.8325655460357666,0.01758921112141021,0.02224414020268428,0.11396754610034421,0.11331439051762193,,0.5923013792307306,0.10484287498700873,,,,1.61,1.64,2.16,,,1.4013432587374337,0.0,1.4013432587374337,1.0,1.0,1.0,0,0,0
2004-09-17,2.9200501441955566,0.030885286408367962,0.04901774535296011,0.1154464972516338,0.17196993039514208,,0.6103033496061879,0.1630520887222806,,,,1.61,1.61,2.13,,,1.530848707510832,0.0,1.530848707510832,1.0,1.0,1.0,0,0,0
2004-09-20,2.966526746749878,0.015916371383795314,0.04729323948093378,0.11032568175520918,0.17584484480189788,0.1895556139165553,0.619129814466311,0.16578389969403173,0.17152117850238802,0.025989559921057608,,1.61,1.61,2.14,,,1.6035921383570089,0.0,1.6035921383570089,1.0,1.0,1.0,0,0,0
2004-09-21,2.9287490844726562,-0.012734644081200619,0.0029790379779577325,0.05695580245836451,0.17828215912270418,0.08798843641890342,0.6109536787367023,0.16820035948993994,0.07149382535708382,0.026321503461789058,,1.61,1.56,2.14,-0.22999999999999998,-0.06000000000000005,1.5419889440543633,0.0,1.5419889440543633,1.0,1.0,1.0,0,0,0
2004-09-22,2.942169427871704,0.004582278307895482,-0.008210719456637205,0.05696402022666347,0.1653866824666168,0.08208379175165326,0.6134603036793197,0.15707118656642272,0.06669669132454215,0.020877498718729084,,1.61,1.5,2.13,-0.28,-0.06000000000000005,1.5628421490816513,0.0,1.5628421490816513,1.0,1.0,1.0,0,0,0
