date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1986-03-13,0.05949981138110161,0.0,,,,,0.13505835053628623,,,,,6.99,0.54,2.75,,,1.000277380952381,0.0,1.000277380952381,1.0,1.0,1.0,0,0,0
1986-03-14,0.06162466108798981,0.03571187298861078,,,,,0.13981442700126379,,,,,6.99,0.54,2.72,,,1.106523334364781,0.0,1.106523334364781,1.0,1.0,1.0,0,0,0
1986-03-17,0.0626877024769783,0.017250259396488277,0.05357817145768684,,,,0.14202165499543015,,,,,6.99,0.55,2.68,,,1.1628206190448809,0.0,1.1628206190448809,1.0,1.0,1.0,0,0,0
1986-03-18,0.061093445867300034,-0.02543172818087802,-0.008620172692410999,,,,0.13834339476216145,,,,,6.99,0.6,2.68,,,1.0732113005383,0.0,1.0732113005383,1.0,1.0,1.0,0,0,0
1986-03-19,0.060031019151210785,-0.017390191386436604,-0.04237965694696133,,,,0.13587235862702293,,,,,6.99,0.65,2.71,,,1.0163767684186493,0.0,1.0163767684186493,1.0,1.0,1.0,0,0,0
1986-03-20,0.05843736603856087,-0.026547160704296857,-0.04347569188531919,-0.01785628084996238,,,0.13220187707609662,,,,,6.99,0.61,2.73,,,0.9346544348906812,0.0,0.9346544348906812,1.0,1.0,1.0,0,0,0
1986-03-21,0.056843727827072144,-0.027270876829683544,-0.05309407318423576,-0.07758149378040846,,,0.1285349198788395,,,,,6.99,0.61,2.69,,,0.8574754417888855,0.0,0.8574754417888855,1.0,1.0,1.0,0,0,0
1986-03-24,0.055250104516744614,-0.028035165377886417,-0.054541498665649724,-0.1186452472550753,,,0.12475169541433145,,,,,6.99,0.59,2.73,,,0.7847050522706064,0.0,0.7847050522706064,1.0,1.0,1.0,0,0,0
1986-03-25,0.05631250515580177,0.019228934467176995,-0.009345317268537268,-0.07825619661203687,,,0.12708953527632827,,,,,6.99,0.58,2.74,,,0.829283147445681,0.0,0.829283147445681,1.0,1.0,1.0,0,0,0
1986-03-26,0.0579061284661293,0.028299634440314803,0.04807274072358947,-0.03539654523820668,,,0.1306234241038455,,,,,6.99,0.53,2.79,,,0.8989414689225174,0.0,0.8989414689225174,1.0,1.0,1.0,0,0,0
1986-03-27,0.058968573808670044,0.018347718465795637,0.0471665866315063,0.009090207278655393,,,0.13295624760923852,,,,,6.99,0.45,2.88,,,0.9476346776202003,0.0,0.9476346776202003,1.0,1.0,1.0,0,0,0
