date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
2015-07-06,36.709999084472656,0.0,,,,,0.47594431874146553,,,,,0.14,1.7,2.84,,,1.0000055555555556,0.0,1.0000055555555556,1.0,1.0,1.0,0,0,0
2015-07-07,36.619998931884766,-0.0024516522700203103,,,,,0.4747699093987924,,,,,0.14,1.69,2.84,,,0.9925973807701551,0.0,0.9925973807701551,1.0,1.0,1.0,0,0,0
2015-07-08,34.70000076293945,-0.05243031744803206,-0.054753428811262994,,,,0.4498704094154002,,,,,0.14,1.67,2.87,,,0.836425983019732,0.0,0.836425983019732,1.0,1.0,1.0,0,0,0
2015-07-09,34.5,-0.005763710620809492,-0.05789183489131389,,,,0.4472703650382061,,,,,0.14,1.72,2.88,,,0.8219191978015082,0.0,0.8219191978015082,1.0,1.0,1.0,0,0,0
2015-07-10,34.689998626708984,0.005507206571274903,-0.0002882459945404703,,,,0.4497264147055512,,,,,0.14,1.77,2.9,,,0.8354538758676237,0.0,0.8354538758676237,1.0,1.0,1.0,0,0,0
2015-07-13,36.779998779296875,0.06024791684421493,0.0660869211390398,0.0019068291084165523,,,0.47679871894983683,,,,,0.14,1.75,2.88,,,0.9864040974716067,0.0,0.9864040974716067,1.0,1.0,1.0,0,0,0
2015-07-14,36.93000030517578,0.004078345047780152,0.06457197368529566,0.008465357245575955,,,0.47873564612764186,,,,,0.14,1.75,2.91,,,0.9984192972536304,0.0,0.9984192972536304,1.0,1.0,1.0,0,0,0
2015-07-15,37.5099983215332,0.015705334729610998,0.019847731551509318,0.08097975495132848,,,0.4862466075897605,,,,,0.14,1.72,2.91,,,1.0454048188409215,0.0,1.0454048188409215,1.0,1.0,1.0,0,0,0
2015-07-16,38.630001068115234,0.02985877890426547,0.04603305575118544,0.11971017588739818,,,0.5007573643884992,,,,,0.14,1.69,2.88,,,1.1389873331287117,0.0,1.1389873331287117,1.0,1.0,1.0,0,0,0
2015-07-17,38.38999938964844,-0.006212831266652286,0.023460440082452738,0.10665900574843779,,,0.4976383198897832,,,,,0.14,1.66,2.87,,,1.1176984455405592,0.0,1.1176984455405592,1.0,1.0,1.0,0,0,0
2015-07-20,40.470001220703125,0.054180824801355554,0.047631377212324466,0.10032633398246116,,,0.5245757169440247,,,,,0.14,1.67,2.86,,,1.2993023080840154,0.0,1.2993023080840154,1.0,1.0,1.0,0,0,0
2015-07-21,39.349998474121094,-0.027674887887304433,0.025006488662032034,0.06552932978465598,0.07191499470140506,,0.5100500216795766,0.07165901891275106,,,,0.14,1.64,2.87,,,1.1913643451639695,0.0,1.1913643451639695,1.0,1.0,1.0,0,0,0
2015-07-22,38.38999938964844,-0.02439641986527674,-0.051396139567957966,0.023460440082452738,0.04833425749290621,,0.49759870434091724,0.04808391283902824,,,,0.14,1.58,2.85,,,1.1041101195680454,0.0,1.1041101195680454,1.0,1.0,1.0,0,0,0
2015-07-23,37.0099983215332,-0.03594688955601655,-0.0594663340108339,-0.041936388863296314,0.06657053336612284,,0.47970394073898165,0.06631583384723982,,,,0.14,1.57,2.85,,,0.9849893764651403,0.0,0.9849893764651403,1.0,1.0,1.0,0,0,0
2015-07-24,37.0,-0.00027015190452972515,-0.03620733033987078,-0.03620733033987078,0.07246376811594213,,0.479566712056985,0.07220766127892264,,,,0.14,1.57,2.87,,,0.9841383622636123,0.0,0.9841383622636123,1.0,1.0,1.0,0,0,0
2015-07-27,36.38999938964844,-0.01648650298247467,-0.01675220102682462,-0.10081546103259054,0.04900550101580481,,0.4716378051597824,0.04872159992776326,,,,0.14,1.55,2.9,,,0.935413248580816,0.0,0.935413248580816,1.0,1.0,1.0,0,0,0
2015-07-28,37.599998474121094,0.03325086850143921,0.016216174976245723,-0.044472682791866,0.022294717836852884,,0.4873124127222012,0.022050591485482718,,,,0.14,1.57,2.91,,,1.0286680477964414,0.0,1.0286680477964414,1.0,1.0,1.0,0,0,0
2015-07-29,37.95000076293945,0.009308571888885897,0.04286895849013872,-0.01146128246169309,0.027619833450711173,,0.4918407641698767,0.02737443544937257,,,,0.14,1.59,2.9,,,1.057337693721997,0.0,1.057337693721997,1.0,1.0,1.0,0,0,0
2015-07-30,38.45000076293945,0.013175230301662566,0.02260644476896423,0.03890847086497784,0.025060050212442286,,0.4983129452798151,0.024815263493282336,,,,0.14,1.56,2.88,,,1.0990708152959192,0.0,1.0990708152959192,1.0,1.0,1.0,0,0,0
2015-07-31,38.70000076293945,0.0065019504561614205,0.01976284545249385,0.045945966565931196,0.0018120552132729895,,0.5015449656711237,0.0015728201692777333,,,,0.14,1.53,2.94,,,1.1204491006583441,0.0,1.1204491006583441,1.0,1.0,1.0,0,0,0
2015-08-03,39.38999938964844,0.017829421527292277,0.02444729799888634,0.08244023221537589,0.02604845053135474,,0.5104628388430212,0.02577076250092314,,,,0.14,1.48,2.92,,,1.180316744669497,0.0,1.180316744669497,1.0,1.0,1.0,0,0,0
2015-08-04,38.95000076293945,-0.011170313113145536,0.006459948193060727,0.03590431764904256,-0.037558695624305805,0.06101884321250939,0.5047527723346712,-0.03778852884162143,0.06052904186225727,0.026859571931226612,,0.14,1.49,2.88,,,1.1407021102047192,0.0,1.1407021102047192,1.0,1.0,1.0,0,0,0
2015-08-05,39.27000045776367,0.008215653107989107,-0.0030464314228016987,0.03478259995486699,-0.002032986517395474,0.07236487174147821,0.5088915433533522,-0.0022713033565013863,0.07186983268962543,0.02687242854192982,,0.14,1.55,2.9,-0.1499999999999999,0.06000000000000005,1.1687543342214228,0.0,1.1687543342214228,1.0,1.0,1.0,0,0,0
2015-08-06,38.849998474121094,-0.010695237554028236,-0.002567452807690551,0.01040306120272394,0.011982263396354442,0.11959647319702515,0.5034408115313833,0.011740599683039976,0.11907963047757919,0.027015174613129137,,0.14,1.52,2.92,-0.16999999999999993,0.08000000000000007,1.1311934162641093,0.0,1.1311934162641093,1.0,1.0,1.0,0,0,0
