date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1980-03-17,0.07598574459552765,0.0,,,,,0.35097172892127515,,,,,17.61,-2.24,2.34,,,0.0,1.0006988095238096,1.0006988095238096,0.0,1.0,0.0,0,0,0
1980-03-18,0.07537755370140076,-0.008004013086458484,,,,,0.348000620800059,,,,,17.61,-2.02,2.34,,,0.0,1.00139810738237,1.00139810738237,0.0,1.0,0.0,0,0,0
1980-03-19,0.07537755370140076,0.0,-0.008004013086458484,,,,0.3478387702996649,,,,,17.61,-1.98,2.34,,,0.0,1.0020978939169336,1.0020978939169336,0.0,1.0,0.0,0,0,0
1980-03-20,0.07537755370140076,0.0,0.0,,,,0.3476769950738046,,,,,17.61,-2.41,2.34,,,0.0,1.0027981694689923,1.0027981694689923,0.0,1.0,0.0,0,0,0
1980-03-21,0.07537755370140076,0.0,0.0,,,,0.34751529508746887,,,,,17.61,-2.27,2.34,,,0.0,1.003498934380276,1.003498934380276,0.0,1.0,0.0,0,0,0
1980-03-24,0.07537755370140076,0.0,0.0,-0.008004013086458484,,,0.3470306462157612,,,,,17.61,-2.19,2.34,,,0.0,1.0042001889927539,1.0042001889927539,0.0,1.0,0.0,0,0,0
1980-03-25,0.07294635474681854,-0.03225361974750629,-0.03225361974750629,-0.03225361974750629,,,0.3356814580481484,,,,,17.61,-2.09,2.34,,,0.0,1.0049019336486333,1.0049019336486333,0.0,1.0,0.0,0,0,0
1980-03-26,0.07294635474681854,0.0,-0.03225361974750629,-0.03225361974750629,,,0.3355253370279238,,,,,17.61,-2.23,2.34,,,0.0,1.0056041686903616,1.0056041686903616,0.0,1.0,0.0,0,0,0
1980-03-27,0.06625935435295105,-0.09167011041301054,-0.09167011041301054,-0.12096703727704372,,,0.30462594890082567,,,,,17.61,-2.14,2.34,,,0.0,1.006306894460625,1.006306894460625,0.0,1.0,0.0,0,0,0
1980-03-28,0.06929874420166016,0.04587110572371178,-0.05000401401575827,-0.0806448233093513,,,0.31845130159250956,,,,,17.61,-2.17,2.34,,,0.0,1.0070101113023495,1.0070101113023495,0.0,1.0,0.0,0,0,0
1980-03-31,0.07294635474681854,0.05263602662905109,0.10092160509514025,-0.03225361974750629,,,0.33474582039905987,,,,,17.61,-1.99,2.34,,,0.0,1.0077138195587,1.0077138195587,0.0,1.0,0.0,0,0,0
1980-04-01,0.07416190952062607,0.016663680838151063,0.07017681741553705,0.016663680838151063,-0.024002332077021293,,0.34016563774499764,-0.03078906443402274,,,,17.61,-1.9,2.34,,,0.0,1.0084180195730823,1.0084180195730823,0.0,1.0,0.0,0,0,0
1980-04-02,0.07537755370140076,0.0163917594440659,0.033328587329968684,0.033328587329968684,0.0,,0.3455807512132121,-0.006953635833417793,,,,17.61,-1.89,2.34,,,0.0,1.0091227116891412,1.0091227116891412,0.0,1.0,0.0,0,0,0
1980-04-03,0.07659313082695007,0.016126513343278415,0.032782614714738756,0.15595951054628387,0.016126513343278415,,0.3509904468231984,0.00906073960880871,,,,17.61,-1.99,2.34,,,0.0,1.0098278962507623,1.0098278962507623,0.0,1.0,0.0,0,0,0
1980-04-07,0.07537755370140076,-0.015870576283083637,0.0,0.08771889836922875,0.0,,0.34477787312188163,-0.008338549840801401,,,,17.61,-1.72,2.34,,,0.0,1.010533573602071,1.010533573602071,0.0,1.0,0.0,0,0,0
1980-04-08,0.07598574459552765,0.008068594220186132,-0.00793003530296621,0.04166609639725238,0.008068594220186132,,0.34739810042092106,-0.0003372359956654858,,,,17.61,-1.68,2.34,,,0.0,1.0112397440874337,1.0112397440874337,0.0,1.0,0.0,0,0,0
1980-04-09,0.08571132272481918,0.12799214090828248,0.1370934517768303,0.1557324141037788,0.1370934517768303,,0.3916800770396089,0.1286613482432546,,,,17.61,-1.48,2.34,,,0.0,1.0119464080514569,1.0119464080514569,0.0,1.0,0.0,0,0,0
1980-04-10,0.08449573069810867,-0.014182397238381661,0.1119945082841487,0.12096674074656888,0.15832697865953116,,0.38594553289688055,0.14973741814932917,,,,17.61,-1.51,2.34,,,0.0,1.0126535658389881,1.0126535658389881,0.0,1.0,0.0,0,0,0
1980-04-11,0.08328013867139816,-0.01438643132223627,-0.02836479447676321,0.0873055817440902,0.14166278713235236,,0.3802162381532443,0.1331967997445187,,,,17.61,-1.43,2.34,,,0.0,1.0133612177951161,1.0133612177951161,0.0,1.0,0.0,0,0,0
1980-04-14,0.08328013867139816,0.0,-0.01438643132223627,0.10484002971630724,0.25688122808714087,,0.3796859841660651,0.24640066132276872,,,,17.61,-1.34,2.34,,,0.0,1.0140693642651706,1.0140693642651706,0.0,1.0,0.0,0,0,0
1980-04-15,0.08753512799739838,0.05109248608229744,0.05109248608229744,0.1519940807759157,0.26315605002408304,,0.39889947581654844,0.2526231603442475,,,,17.61,-1.15,2.34,,,0.0,1.0147780055947226,1.0147780055947226,0.0,1.0,0.0,0,0,0
1980-04-16,0.08814334869384766,0.006948304187861076,0.05839579640517245,0.028374617165069616,0.20833109481309497,0.15999848607176226,0.4014843387586812,0.1993707293493927,0.1439221614591537,0.04006592648400707,,17.61,-1.07,2.34,,,0.0,1.0154871421295848,1.0154871421295848,0.0,1.0,0.0,0,0,0
1980-04-17,0.08449573069810867,-0.041382793481201,-0.03472202953059067,0.0,0.13934135790568525,0.12096674074656888,0.3846907974145636,0.13089258504982748,0.10543135391584446,0.041385456288473975,,17.61,-0.84,2.34,1.4000000000000004,0.0,0.0,1.0161967742158111,1.0161967742158111,0.0,1.0,0.0,0,0,0
1980-04-18,0.08571132272481918,0.01438643132223616,-0.027591712875304264,0.029192843482331865,0.1370934517768303,0.1370934517768303,0.39004363659122065,0.1286613482432546,0.12133456617040128,0.0413092339742202,,17.61,-0.71,2.34,1.31,0.0,0.0,1.0169069021996977,1.0169069021996977,0.0,1.0,0.0,0,0,0
1980-04-21,0.08084814250469208,-0.05673906393605199,-0.04316890526041972,-0.029202595066539327,0.055553437126829586,0.07257583371519871,0.36739983011218247,0.04675165218171817,0.056727466349020705,0.04345978079345883,,17.61,-0.66,2.34,1.3199999999999998,0.0,0.0,1.0176175264277827,1.0176175264277827,0.0,1.0,0.0,0,0,0
1980-04-22,0.08388755470514297,0.03759408820399934,-0.021278029106277074,-0.04166982302652045,0.11289834421336598,0.11289834421336598,0.38103459510693594,0.1051596544080926,0.09645417192653438,0.04402723280775901,,17.61,-0.61,2.34,1.8000000000000003,0.0,0.0,1.018328647246846,1.018328647246846,0.0,1.0,0.0,0,0,0
1980-04-23,0.08388755470514297,0.0,0.03759408820399934,-0.04828264471192856,0.10399069130238425,0.11289834421336598,0.3808573809406401,0.09631394207158439,0.09747477663355308,0.04402723280775901,,17.61,-0.49,2.34,1.78,0.0,0.0,1.0190402650039103,1.0190402650039103,0.0,1.0,0.0,0,0,0
1980-04-24,0.08388755470514297,0.0,0.0,-0.007197712688450819,-0.021278029106277074,0.14998967386785855,0.3806802491943165,-0.028083705274036808,0.13405206056902208,0.04402723280775901,,17.61,-0.46,2.34,1.73,0.0,0.0,1.0197523800462405,1.0197523800462405,0.0,1.0,0.0,0,0,0
1980-04-25,0.08328013867139816,-0.0072408360915969805,-0.0072408360915969805,-0.02836479447676321,-0.01438643132223627,0.14166278713235236,0.37774803852733807,-0.021240029151296747,0.1258405754791041,0.043315345772517146,,17.61,-0.44,2.34,1.65,0.0,0.0,1.0204649927213443,1.0204649927213443,0.0,1.0,0.0,0,0,0
1980-04-28,0.08328013867139816,0.0,-0.0072408360915969805,0.030081039481704153,0.0,0.25688122808714087,0.37722122672005926,-0.007877126573373472,0.23830956647382573,0.043315345772517146,,17.61,-0.11,2.34,2.12,0.0,0.0,1.0211781033769722,1.0211781033769722,0.0,1.0,0.0,0,0,0
1980-04-29,0.08388755470514297,0.0072936482027428085,0.0072936482027428085,0.0,0.0072936482027428085,0.21052056096470095,0.37979582542126966,0.0002892949958261948,0.1926339240002748,0.037311448847201764,,17.61,-0.07,2.34,2.0700000000000003,0.0,0.0,1.021891712361118,1.021891712361118,0.0,1.0,0.0,0,0,0
