date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1980-03-17,0.0693043023347854,0.0,,,,,0.6809658610939325,,,,,17.61,-2.24,2.34,,,0.0,1.0006988095238096,1.0006988095238096,0.0,1.0,0.0,0,0,0
1980-03-18,0.0680443048477172,-0.018180653215172482,,,,,0.6682854325962239,,,,,17.61,-2.02,2.34,,,0.0,1.00139810738237,1.00139810738237,0.0,1.0,0.0,0,0,0
1980-03-19,0.0693043023347854,0.018517310006885612,0.0,,,,0.680354838282913,,,,,17.61,-1.98,2.34,,,0.0,1.0020978939169336,1.0020978939169336,0.0,1.0,0.0,0,0,0
1980-03-20,0.070564292371273,0.01818054570986094,0.03703451051775031,,,,0.6924132041177692,,,,,17.61,-2.41,2.34,,,0.0,1.0027981694689923,1.0027981694689923,0.0,1.0,0.0,0,0,0
1980-03-21,0.0730842798948288,0.03571193643233772,0.054541744634894584,,,,0.7168188072394891,,,,,17.61,-2.27,2.34,,,0.0,1.003498934380276,1.003498934380276,0.0,1.0,0.0,0,0,0
1980-03-24,0.0693043023347854,-0.05172080186714478,-0.017855915423315993,0.0,,,0.6788296788331136,,,,,17.61,-2.19,2.34,,,0.0,1.0042001889927539,1.0042001889927539,0.0,1.0,0.0,0,0,0
1980-03-25,0.0674142763018608,-0.02727140984400278,-0.07758171252596813,-0.009259092987523476,,,0.660020722533259,,,,,17.61,-2.09,2.34,,,0.0,1.0049019336486333,1.0049019336486333,0.0,1.0,0.0,0,0,0
1980-03-26,0.0604835674166679,-0.10280773250697339,-0.1272754305426459,-0.1272754305426459,,,0.5918997573885822,,,,,17.61,-2.23,2.34,,,0.0,1.0056041686903616,1.0056041686903616,0.0,1.0,0.0,0,0,0
1980-03-27,0.0554435811936855,-0.0833281904200891,-0.17756914061606377,-0.21428275788595885,,,0.5423343426554027,,,,,17.61,-2.14,2.34,,,0.0,1.006306894460625,1.006306894460625,0.0,1.0,0.0,0,0,0
1980-03-28,0.0617435500025749,0.11362846109960345,0.020831816635864975,-0.1551733137218244,,,0.6036879358993134,,,,,17.61,-2.17,2.34,,,0.0,1.0070101113023495,1.0070101113023495,0.0,1.0,0.0,0,0,0
1980-03-31,0.0686742588877677,0.11224992545624213,0.23863317284398367,-0.009090971639454493,,,0.6705483354458861,,,,,17.61,-1.99,2.34,,,0.0,1.0077138195587,1.0077138195587,0.0,1.0,0.0,0,0,0
1980-04-01,0.0680443048477172,-0.00917307372883347,0.10204717488514259,0.009345624998410296,-0.018180653215172482,,0.6640992011937399,-0.024768730510362658,,,,17.61,-1.9,2.34,,,0.0,1.0084180195730823,1.0084180195730823,0.0,1.0,0.0,0,0,0
1980-04-02,0.0642642676830291,-0.05555258699677801,-0.06421607274926266,0.06250789144622004,-0.05555258699677801,,0.6269253166934572,-0.06188989597167582,,,,17.61,-1.89,2.34,,,0.0,1.0091227116891412,1.0091227116891412,0.0,1.0,0.0,0,0,0
