date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_unlevered,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1980-03-17,3.1458330154418945,0.0,,,,,0.7095403191256672,,,,,17.61,-2.24,2.34,,,0.0,0.0,1.0006988095238096,1.0006988095238096,0.0,1.0,0.0,0,0,0
1980-03-18,3.03125,-0.036423743688696386,,,,,0.68361901430925,,,,,17.61,-2.02,2.34,,,0.0,0.0,1.00139810738237,1.00139810738237,0.0,1.0,0.0,0,0,0
1980-03-19,3.041666984558105,0.0034365309882409267,-0.03311238402434957,,,,0.6858908456189307,,,,,17.61,-1.98,2.34,,,0.0,0.0,1.0020978939169336,1.0020978939169336,0.0,1.0,0.0,0,0,0
1980-03-20,3.010416984558105,-0.010273971528983794,-0.006872747362274612,,,,0.6787673803202262,,,,,17.61,-2.41,2.34,,,0.0,0.0,1.0027981694689923,1.0027981694689923,0.0,1.0,0.0,0,0,0
1980-03-21,2.916666984558105,-0.03114186522361828,-0.041095886115935176,,,,0.6575550509323296,,,,,17.61,-2.27,2.34,,,0.0,0.0,1.003498934380276,1.003498934380276,0.0,1.0,0.0,0,0,0
1980-03-24,2.666666984558105,-0.085714276372171,-0.11418683915326722,-0.15231769408347984,,,0.6009895923248544,,,,,17.61,-2.19,2.34,,,0.0,0.0,1.0042001889927539,1.0042001889927539,0.0,1.0,0.0,0,0,0
1980-03-25,2.604166984558105,-0.02343749720603261,-0.10714284546521369,-0.1408933659189756,,,0.5868376383016686,,,,,17.61,-2.09,2.34,,,0.0,0.0,1.0049019336486333,1.0049019336486333,0.0,1.0,0.0,0,0,0
1980-03-26,2.447916984558105,-0.059999992675782154,-0.08203124022111419,-0.1952054590506923,,,0.5515651049291328,,,,,17.61,-2.23,2.34,,,0.0,0.0,1.0056041686903616,1.0056041686903616,0.0,1.0,0.0,0,0,0
1980-03-27,2.375,-0.029787360036340416,-0.08800011132811125,-0.21107274766833573,,,0.5350750191526242,,,,,17.61,-2.14,2.34,,,0.0,0.0,1.006306894460625,1.006306894460625,0.0,1.0,0.0,0,0,0
1980-03-28,2.541666984558105,0.07017557244551798,0.03829786736698648,-0.1285714145582565,,,0.5725595649838229,,,,,17.61,-2.17,2.34,,,0.0,0.0,1.0070101113023495,1.0070101113023495,0.0,1.0,0.0,0,0,0
1980-03-31,2.541666984558105,0.0,0.07017557244551798,-0.04687499441206522,,,0.5723656589574463,,,,,17.61,-1.99,2.34,,,0.0,0.0,1.0077138195587,1.0077138195587,0.0,1.0,0.0,0,0,0
1980-04-01,2.7395830154418945,0.07786859257574985,0.07786859257574985,0.05199974951174946,-0.1291390858973912,,0.6168653145846024,-0.13061273904105097,,,,17.61,-1.9,2.34,,,0.0,0.0,1.0084180195730823,1.0084180195730823,0.0,1.0,0.0,0,0,0
1980-04-02,2.625,-0.04182498387383682,0.032786756073153844,0.07234028627562372,-0.134020618556701,,0.5909982008321719,-0.1354860112699835,,,,17.61,-1.89,2.34,,,0.0,0.0,1.0091227116891412,1.0091227116891412,0.0,1.0,0.0,0,0,0
1980-04-03,2.635416984558105,0.003968375069754337,-0.0380225860273804,0.1096492566560443,-0.13356162987678954,,0.5932765141877548,-0.13502779928138997,,,,17.61,-1.99,2.34,,,0.0,0.0,1.0098278962507623,1.0098278962507623,0.0,1.0,0.0,0,0,0
1980-04-07,2.541666984558105,-0.035573118238713786,-0.03174591064453147,0.0,-0.15570932611809163,,0.5719134669044771,-0.15742346570240018,,,,17.61,-1.72,2.34,,,0.0,0.0,1.010533573602071,1.010533573602071,0.0,1.0,0.0,0,0,0
1980-04-08,2.59375,0.02049167564371146,-0.015810395395585375,0.02049167564371146,-0.1107143826387259,,0.5835670393284544,-0.1125198741899549,,,,17.61,-1.68,2.34,,,0.0,0.0,1.0112397440874337,1.0112397440874337,0.0,1.0,0.0,0,0,0
1980-04-09,2.666666984558105,0.028112572359751287,0.049180321717769315,-0.02661574059730698,0.0,,0.5999048723436368,-0.001804889793551201,,,,17.61,-1.48,2.34,,,0.0,0.0,1.0119464080514569,1.0119464080514569,0.0,1.0,0.0,0,0,0
1980-04-10,2.7395830154418945,0.027343508321820975,0.05622477703783879,0.04365067254929311,0.05199974951174946,,0.6162387942811712,0.050101005901037166,,,,17.61,-1.51,2.34,,,0.0,0.0,1.0126535658389881,1.0126535658389881,0.0,1.0,0.0,0,0,0
1980-04-11,2.635416984558105,-0.0380225860273804,-0.01171874860301636,0.0,0.07659573473397319,,0.5927408730226754,0.07465259808057123,,,,17.61,-1.43,2.34,,,0.0,0.0,1.0133612177951161,1.0133612177951161,0.0,1.0,0.0,0,0,0
1980-04-14,2.5625,-0.027668101475156637,-0.06463867473398355,0.008196595214269298,0.07894736842105265,,0.5761456717803667,0.07675681195654449,,,,17.61,-1.34,2.34,,,0.0,0.0,1.0140693642651706,1.0140693642651706,0.0,1.0,0.0,0,0,0
1980-04-15,2.5625,0.0,-0.027668101475156637,-0.012048192771084376,0.008196595214269298,,0.5760806242646631,0.006149682052625671,,,,17.61,-1.15,2.34,,,0.0,0.0,1.0147780055947226,1.0147780055947226,0.0,1.0,0.0,0,0,0
1980-04-16,2.354166984558105,-0.08130068895293463,-0.08130068895293463,-0.11718748603016305,-0.07377048257665386,-0.25165545246608845,0.5291851202585196,-0.07544222477913731,-0.25418597647754637,0.041568629674362305,,17.61,-1.07,2.34,,,0.0,0.0,1.0154871421295848,1.0154871421295848,0.0,1.0,0.0,0,0,0
1980-04-17,2.4270830154418945,0.03097317707795333,-0.052845652510480234,-0.11406845430073376,-0.11406845430073376,-0.19931281964803482,0.545514068568917,-0.11566746310535114,-0.20202034005721514,0.0425173963191664,,17.61,-0.84,2.34,1.4000000000000004,0.0,0.0,0.0,1.0161967742158111,1.0161967742158111,0.0,1.0,0.0,0,0,0
1980-04-18,2.322916984558105,-0.04291819860344748,-0.013274334490705586,-0.11857706079571262,-0.11507924397786473,-0.2363013451666276,0.5220426415573085,-0.11667642841851056,-0.23888378902880625,0.0427254171227937,,17.61,-0.71,2.34,1.31,0.0,0.0,0.0,1.0169069021996977,1.0169069021996977,0.0,1.0,0.0,0,0,0
1980-04-21,2.291666984558105,-0.013452912957173435,-0.05579373677053012,-0.10569093285537368,-0.13043476687528388,-0.23875430004774045,0.5148452280845375,-0.13220022068562132,-0.24149974938152474,0.04260240793761443,,17.61,-0.66,2.34,1.3199999999999998,0.0,0.0,0.0,1.0176175264277827,1.0176175264277827,0.0,1.0,0.0,0,0,0
1980-04-22,2.5625,0.11818166307183531,0.10313886248822257,0.0,0.008196595214269298,-0.12142866718524736,0.5756254972386348,0.006490545421581562,-0.12459725399041355,0.0508439661203883,,17.61,-0.61,2.34,1.8000000000000003,0.0,0.0,0.0,1.018328647246846,1.018328647246846,0.0,1.0,0.0,0,0,0
1980-04-23,2.6145830154418945,0.020325079196836793,0.14090879393022115,0.11061918402218684,0.008032005953501509,-0.019531486090244354,0.5872588213680844,0.006326234675416709,-0.02284693633986934,0.05081987740185333,,17.61,-0.49,2.34,1.78,0.0,0.0,0.0,1.0190402650039103,1.0190402650039103,0.0,1.0,0.0,0,0,0
1980-04-24,2.78125,0.06374514925468411,0.08536585365853666,0.14592289687034987,0.04296862566845139,0.06799986962892235,0.6246231939402804,0.04120373535236865,0.06438843245972548,0.04930694652560057,,17.61,-0.46,2.34,1.73,0.0,0.0,0.0,1.0197523800462405,1.0197523800462405,0.0,1.0,0.0,0,0,0
1980-04-25,2.7083330154418945,-0.0262173427624649,0.03585657806476461,0.16591898610492462,-0.01140684543007342,0.10638270518426074,0.6081785617480377,-0.013079722678828731,0.10264147661440415,0.049381574708188006,,17.61,-0.44,2.34,1.65,0.0,0.0,0.0,1.0204649927213443,1.0204649927213443,0.0,1.0,0.0,0,0,0
1980-04-28,2.729166984558105,0.007692543345823033,-0.01872647746225442,0.1909090644268987,0.035573118238713786,0.14912294086657063,0.6126494483285592,0.033587316501998865,0.14497860374566973,0.04734060796479809,,17.61,-0.11,2.34,2.12,0.0,0.0,0.0,1.0211781033769722,1.0211781033769722,0.0,1.0,0.0,0,0,0
1980-04-29,2.666666984558105,-0.02290076069131397,-0.015384382439761146,0.0406505305592606,0.0406505305592606,0.049180321717769315,0.5985517251091615,0.03888956287661971,0.04539642984756198,0.047114899597418596,,17.61,-0.07,2.34,2.0700000000000003,0.0,0.0,0.0,1.021891712361118,1.021891712361118,0.0,1.0,0.0,0,0,0
1980-04-30,2.5520830154418945,-0.042968983296276964,-0.06488572158397377,-0.02390438537650974,-0.004065164705602142,0.004098109999095989,0.5727678925687728,-0.005750465397302396,0.0007027563674228965,0.04597392856088317,,17.61,-0.05,2.34,2.12,0.0,0.0,0.0,1.022605820022018,1.022605820022018,0.0,1.0,0.0,0,0,0
1980-05-01,2.4583330154418945,-0.0367346984532817,-0.07812522910532593,-0.1161049832119031,0.044247511568658915,-0.10266160887066034,0.5516651460829372,0.04248045714784188,-0.10569595495180506,0.046680314159385644,,10.98,-0.13,2.34,1.8599999999999999,0.0,0.0,0.0,1.0230513839864563,1.0230513839864563,0.0,1.0,0.5099999999999998,0,0,0
1980-05-02,2.46875,0.004237417995313075,-0.03265294073024716,-0.08846143146942509,0.017167515199524086,-0.059523809523809534,0.5539402343426251,0.015446284998319015,-0.06270402589613022,0.043312409998642984,,10.98,0.2,2.34,2.1,0.0,0.0,0.0,1.023497142089479,1.023497142089479,0.0,1.0,0.5099999999999998,0,0,0
1980-05-05,2.604166984558105,0.05485244944125767,0.059322300192920174,-0.04580152138262783,0.12107621661456092,-0.011857706079571262,0.5841273223979031,0.11892645523244894,-0.015421462962136201,0.04417100908673798,,10.98,0.33,2.34,2.2199999999999998,0.0,0.0,0.0,1.023943094415675,1.023943094415675,0.0,1.0,0.5099999999999998,0,0,0
1980-05-06,2.6875,0.03199987402345306,0.08860759493670889,0.0078123798594023075,0.17272711005094932,0.05737691693203839,0.6027512641263629,0.1707426450641809,0.053920390070193,0.044675636734740905,,10.98,0.4,2.34,2.39,0.0,0.0,0.0,1.0243892410496704,1.0243892410496704,0.0,1.0,0.5099999999999998,0,0,0
1980-05-07,2.6875,0.0,0.03199987402345306,0.05306135566074355,0.04878048780487809,0.03614457831325302,0.6026832128083733,0.047005762773780324,0.032757459197690464,0.04389446197005626,,10.98,0.55,2.34,2.27,0.0,0.0,0.0,1.024835582076128,1.024835582076128,0.0,1.0,0.5099999999999998,0,0,0
1980-05-08,2.604166984558105,-0.031007633652798128,-0.031007633652798128,0.059322300192920174,-0.003983821061435688,-0.02343749720603261,0.583929498774107,-0.005669259401197779,-0.02662984467373808,0.044313252417604615,,10.98,0.7,2.34,2.38,0.0,0.0,0.0,1.0252821175797469,1.0252821175797469,0.0,1.0,0.5099999999999998,0,0,0
1980-05-09,2.541666984558105,-0.023999997070312862,-0.05426344760628654,0.029535993745055222,-0.08614220779933301,-0.07224312231760044,0.5698508484269033,-0.08768861938644867,-0.07527592596369803,0.044193394772097515,,10.98,0.45,2.34,1.93,0.0,0.0,0.0,1.0257288476452637,1.0257288476452637,0.0,1.0,0.5099999999999998,0,0,0
1980-05-12,2.6145830154418945,0.028688270857980536,0.003999755371123737,0.003999755371123737,-0.03461538867837621,-0.007905378632028448,0.5860003587255358,-0.03646659783396011,-0.011371772394851765,0.04423575897198055,,10.98,0.78,2.34,2.29,0.0,0.0,0.0,1.026175772357452,1.026175772357452,0.0,1.0,0.5099999999999998,0,0,0
1980-05-13,2.6875,0.027888571189919498,0.05737691693203839,0.0,-0.015267290273501377,0.04878048780487809,0.6022750662146094,-0.016933634955933363,0.04535206235863809,0.04385376214456272,,10.98,0.75,2.34,2.1799999999999997,0.0,0.0,0.0,1.0266228918011222,1.0266228918011222,0.0,1.0,0.5099999999999998,0,0,0
1980-05-14,2.7708330154418945,0.031007633652798017,0.05976096344127435,0.031007633652798017,0.03906225692483711,0.08130068895293441,0.6208800848280491,0.03730397688656795,0.07776595614645121,0.04376093771140417,,10.98,0.87,2.34,2.21,0.0,0.0,0.0,1.0270702060611212,1.0270702060611212,0.0,1.0,0.5099999999999998,0,0,0
1980-05-15,2.729166984558105,-0.015037366254690987,0.015503994254178588,0.047999994140625724,0.0693880128682054,0.15929201388846703,0.6114746395998839,0.06757841620192351,0.15550233026424465,0.043950919749973644,,10.98,0.83,2.34,1.98,0.0,0.0,0.0,1.0275177152223336,1.0275177152223336,0.0,1.0,0.5099999999999998,0,0,0
1980-05-16,2.666666984558105,-0.02290076069131397,-0.03759375981997859,0.049180321717769315,0.08474603229406719,0.09871272123446095,0.5974039499938157,0.08291044709937534,0.095121069124807,0.040168710479155954,,10.98,0.61,2.34,1.6800000000000002,0.0,0.0,0.0,1.0279654193696806,1.0279654193696806,0.0,1.0,0.5099999999999998,0,0,0
1980-05-19,2.6875,0.0078123798594023075,-0.015267290273501377,0.027888571189919498,0.08860759493670889,0.1569505143169163,0.6018671960241669,0.08652009496731727,0.15290811154570316,0.03979661241424348,,10.98,0.75,2.34,1.5899999999999999,0.0,0.7558837891622686,0.2725295294258515,0.0,1.0284133185881201,0.5099999999999998,1.0,0.5099999999999998,0,0,0
1980-05-20,2.75,0.023255813953488413,0.031249877065435028,0.023255813953488413,0.05599987109376592,0.1999998335405062,0.615794575786365,0.05421292956895862,0.19607707752756265,0.03845056668235884,,10.98,0.96,2.34,1.67,0.0,0.7734624819334842,0.29116929893460536,0.0,1.0646317808680896,0.5156619745073981,1.0,0.5099999999999998,0,0,0
