date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
2014-09-17,457.3340148925781,0.0,,,,,1.2379009598099728,,,,,0.09,2.03,2.29,,,0.34474662301428166,0.6552569484142896,1.0000035714285713,0.3447453917807396,0.3447453917807396,0.3447453917807396,0,0,0
2014-09-18,424.4400024414063,-0.07192557601231164,,,,,1.1471832600835807,,,,,0.09,2.04,2.28,,,0.27034537396436187,0.6552592886176767,0.9256046625820386,0.29207434328411297,0.47694238545827694,0.47694238545827694,0,0,0
2014-09-19,394.7959899902344,-0.06984264508683835,-0.13674474862105568,,,,1.065499677075348,,,,,0.09,2.0,2.26,,,0.2136902292472244,0.6552616288294216,0.868951858076646,0.24591722459770127,0.5959745494027562,0.5959745494027562,0,0,0
2014-09-20,408.9039916992188,0.03573491642945359,-0.03660354974277491,,,,1.101960523426334,,,,,0.09,2.0,2.26,,,0.23658750311562599,0.6552639690495246,0.8918514721651505,0.2652767983230008,0.5428425333896042,0.5428425333896042,0,0,0
2014-09-21,398.8210144042969,-0.024658544547392802,0.010195200853387654,,,,1.0732152055317996,,,,,0.09,2.0,2.26,,,0.21907529798916314,0.6552663092779853,0.8743416072671485,0.25056030293915355,0.5847312124392676,0.5847312124392676,0,0,0
2014-09-22,402.1520080566406,0.008352101649706567,-0.016512393568279937,-0.12066018498295839,,,1.0805954186041935,,,,,0.09,1.99,2.27,,,0.22455375834835495,0.6552686495148041,0.8798224078631591,0.25522623240948455,0.573976508739629,0.573976508739629,0,0,0
2014-09-23,435.7909851074219,0.08364741783421215,0.09269815122040548,0.026743432760163888,,,1.169271109766026,,,,,0.09,1.97,2.26,,,0.2808903286168904,0.6552709897599809,0.9361613183768713,0.3000447926046568,0.44475520110916666,0.44475520110916666,0,0,0
2014-09-24,423.2049865722656,-0.028880814347395978,0.05235079794170727,0.07195867562569203,,,1.1338401992771725,,,,,0.09,1.98,2.27,,,0.2565410148740846,0.6552733300135156,0.9118143448876002,0.2813522471021319,0.4963863586893418,0.4963863586893418,0,0,0
2014-09-25,411.5740051269531,-0.027483091679796234,-0.05557017195869551,0.0065296829621031005,,,1.1010653812113351,,,,,0.09,1.96,2.27,,,0.23537811853127605,0.6552756702754085,0.8906537888066846,0.2642756607442722,0.5441469658222344,0.5441469658222344,0,0,0
2014-09-26,404.4249877929688,-0.01736994378879475,-0.044375655710970685,0.014051349317794504,,,1.0803568975190774,,,,,0.09,1.95,2.27,,,0.2231019169028302,0.6552780105456594,0.8783799274484896,0.25399250362072223,0.5743240899776472,0.5743240899776472,0,0,0
2014-09-27,399.5199890136719,-0.012128327693262775,-0.029287603111773586,-0.006544836256538233,,,1.065692422886457,,,,,0.09,1.95,2.27,,,0.21497405922698895,0.6552803508242684,0.8702544100512574,0.24702438361022167,0.5956936734893522,0.5956936734893522,0,0,0
2014-09-28,377.1809997558594,-0.055914572166871124,-0.06736474960606553,-0.13449104583270632,-0.17526143371501823,,1.004632605397616,-0.1884386247250065,,,,0.09,1.95,2.27,,,0.17890494124638062,0.6552826911112355,0.8341876323576161,0.2144660677127902,0.6846721675524635,0.6846721675524635,0,0,0
2014-09-29,375.4670104980469,-0.00454420890480145,-0.06020469357492375,-0.1128010717947131,-0.11538260216205731,,0.9986040968986145,-0.12951650216212285,,,,0.09,1.92,2.27,,,0.17645754387146956,0.6552850314065608,0.8317425752780303,0.2121540355349542,0.6954301779758187,0.6954301779758187,0,0,0
2014-09-30,386.9440002441406,0.030567238732558177,0.025884125909312994,-0.05984344146131193,-0.019888727203860368,,1.0276228976009978,-0.03554837255166221,,,,0.09,1.94,2.29,,,0.19262977566584152,0.6552873717102443,0.8479171473760858,0.22717995061421062,0.6511699125104853,0.6511699125104853,0,0,0
2014-10-01,383.614990234375,-0.008603337970520819,0.021700920476395602,-0.051455766054808505,-0.06184581705782388,,1.0172912802313834,-0.07683509653475429,,,,0.09,1.89,2.31,,,0.18764900926210468,0.655289712022286,0.8429387212843907,0.2226128715218857,0.6662255054125207,0.6662255054125207,0,0,0
2014-10-02,375.0719909667969,-0.0222697222086099,-0.030681466232460375,-0.06119342891261037,-0.059548074398669715,,0.9931811841066203,-0.0745740658654952,,,,0.09,1.91,2.32,,,0.175103947084852,0.6552920523426861,0.8303959994275381,0.21086800418784038,0.7109977234412268,0.7109977234412268,0,0,0
