date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
2019-06-12,58.0,0.0,,,,,0.8088047704161507,,,,,2.4,0.25,2.41,,,1.0000952380952381,0.0,1.0000952380952381,1.0,1.0,1.0,0,0,0
2019-06-13,67.55999755859375,0.16482754411368528,,,,,0.9413760327830785,,,,,2.4,0.27,2.42,,,1.4941619336930914,0.0,1.4941619336930914,1.0,0.9172479344338431,0.9172479344338431,0,0,0
2019-06-14,64.16000366210938,-0.050325547947742466,0.10620695969154093,,,,0.8932966251928434,,,,,2.4,0.25,2.42,,,1.2681853778118697,0.0,1.2681853778118697,1.0,1.0,1.0,0,0,0
2019-06-17,70.01000213623047,0.09117827525274746,0.03626413064198042,,,,0.9724444635416054,,,,,2.4,0.23,2.41,,,1.6145778977689484,0.0,1.6145778977689484,1.0,0.8551110729167892,0.8551110729167892,0,0,0
2019-06-18,76.5,0.09270100936635917,0.1923316027673201,,,,1.0617541169821691,,,,,2.4,0.2,2.4,,,2.06295760411522,0.0,2.06295760411522,1.0,0.7258950596213971,0.7258950596213971,0,0,0
2019-06-19,77.22000122070312,0.009411780662786029,0.10298527159652027,0.3313793313914333,,,1.0709029723623364,,,,,2.4,0.29,2.41,,,2.120548774349144,0.0,2.120548774349144,1.0,0.7149164331651963,0.7149164331651963,0,0,0
2019-06-20,74.8499984741211,-0.030691565774627616,-0.02156864739710984,0.10790410270818662,,,1.037217694351337,,,,,2.4,0.29,2.38,,,1.924703435664612,0.0,1.924703435664612,1.0,0.7553387667783957,0.7553387667783957,0,0,0
2019-06-21,72.2300033569336,-0.03500327549229476,-0.06462053593482309,0.1257792898099548,,,1.000123328364819,,,,,2.4,0.3,2.35,,,1.722057008449896,0.0,1.722057008449896,1.0,0.7998520059622173,0.7998520059622173,0,0,0
2019-06-24,67.97000122070312,-0.058978290713612935,-0.09191713284799441,-0.029138706660196356,,,0.9389157065808789,,,,,2.4,0.3,2.33,,,1.4169259763960191,0.0,1.4169259763960191,1.0,0.9221685868382423,0.9221685868382423,0,0,0
2019-06-25,61.52000045776367,-0.0948948160526858,-0.1482763727179286,-0.19581698748021348,,,0.8491481305427296,,,,,2.4,0.29,2.34,,,1.0132351922293625,0.0,1.0132351922293625,1.0,1.0,1.0,0,0,0
2019-06-26,62.650001525878906,0.018368027628527628,-0.07826981902721797,-0.18868168174695543,,,0.8640642064643234,,,,,2.4,0.28,2.32,,,1.0687373940050888,0.0,1.0687373940050888,1.0,1.0,1.0,0,0,0
2019-06-27,63.279998779296875,0.010055821836775669,0.028608555078628806,-0.15457581737726378,0.09103446171201512,,0.8720656746052963,0.0782152955856037,,,,2.4,0.27,2.31,,,1.1006374126463208,0.0,1.1006374126463208,1.0,1.0,1.0,0,0,0
2019-06-28,68.29000091552734,0.07917196954607997,0.09002393060307767,-0.05454800302218232,0.010805260262191085,,0.9403675849402305,-0.0010712486909896235,,,,2.4,0.25,2.31,,,1.361634346836768,0.0,1.361634346836768,1.0,0.919264830119539,0.919264830119539,0,0,0
2019-07-01,63.20000076293945,-0.07453507225580602,-0.001264191180477603,-0.07017802518901184,-0.014962637848739191,,0.8682224657646496,-0.028069242311064224,,,,2.4,0.25,2.29,,,1.0568382967618675,0.0,1.0568382967618675,1.0,1.0,1.0,0,0,0
2019-07-02,64.5199966430664,0.020886010509370223,-0.055205802048887365,0.048764567018531935,-0.07841744501708792,,0.8856580475182042,-0.08924562715625772,,,,2.4,0.21,2.29,,,1.1227097841749978,0.0,1.1227097841749978,1.0,1.0,1.0,0,0,0
2019-07-03,67.23999786376953,0.04215749166495697,0.06392400398829001,0.07326410576374265,-0.12104577955856821,,0.9222681894633403,-0.13137309786496576,,,,2.4,0.19,2.26,,,1.2643098684998506,0.0,1.2643098684998506,1.0,0.9554636210733194,0.9554636210733194,0,0,0
2019-07-05,67.20999908447266,-0.00044614485797056513,0.04169253845885512,0.06210493648842408,-0.12962965524464054,,0.9204051298661404,-0.1405335930333711,,,,2.4,0.17,2.26,,,1.2622265172949552,0.0,1.2622265172949552,1.0,0.9591897402677192,0.9591897402677192,0,0,0
2019-07-08,66.91000366210938,-0.004463553436241385,-0.004907706902798181,-0.020207896250067137,-0.10607875716599946,,0.9141334452252593,-0.11866771054561787,,,,2.4,0.17,2.23,,,1.2449386729864096,0.0,1.2449386729864096,1.0,0.9717331095494814,0.9717331095494814,0,0,0
