date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_unlevered,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1992-01-22,0.4425515532493591,0.0,,,,,1.578853388022651,,,,,3.73,2.14,2.06,,,0.0,0.0,1.0001480158730158,1.0001480158730158,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-01-23,0.4807963073253631,0.08641875459525217,,,,,1.7143515453432827,,,,,3.73,2.18,2.01,,,0.0,0.0,1.0002960536547303,1.0002960536547303,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-01-24,0.486260324716568,0.011364516132831515,0.09876537805886065,,,,1.7328797283424124,,,,,3.73,2.12,1.97,,,0.0,0.0,1.0004441133483863,1.0004441133483863,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-01-27,0.524505078792572,0.07865078052233887,0.09090912471927637,,,,1.8660864549128733,,,,,3.73,2.09,1.95,,,0.0,0.0,1.0005921949572272,1.0005921949572272,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-01-28,0.5135778188705444,-0.02083346828057886,0.05617874370050502,,,,1.8262033998672977,,,,,3.73,2.06,2.01,,,0.0,0.0,1.0007402984844966,1.0007402984844966,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-01-29,0.4753329157829284,-0.07446759124395963,-0.09374964132442631,0.07407354531438837,,,1.6892798566573943,,,,,3.73,2.1,1.95,,,0.0,0.0,1.000888423933439,1.000888423933439,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-01-30,0.4261604845523834,-0.10344840341963757,-0.17021244124290336,-0.11363611146873198,,,1.5136927034877516,,,,,3.73,2.14,1.92,,,0.0,0.0,1.001036571307299,1.001036571307299,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-01-31,0.4534786343574524,0.06410296307449181,-0.04597678952966988,-0.06741592659903606,,,1.6098380782191866,,,,,3.73,2.2,1.9,,,0.0,0.0,1.001184740609322,1.001184740609322,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-02-03,0.4480147659778595,-0.012048788996056659,0.05128181100232854,-0.14583331202587346,,,1.5878159888592387,,,,,3.73,2.21,1.88,,,0.0,0.0,1.0013329318427533,1.0013329318427533,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-02-04,0.4753329157829284,0.060976003202579676,0.048192527210112246,-0.07446759124395963,,,1.6837071566183484,,,,,3.73,2.17,1.89,,,0.0,0.0,1.0014811450108394,1.0014811450108394,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-02-05,0.4644058644771576,-0.022988206671470834,0.03658606756748761,-0.022988206671470834,,,1.6440960640582658,,,,,3.73,2.14,1.95,,,0.0,0.0,1.001629380116827,1.001629380116827,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-02-06,0.4807963073253631,0.03529335889558238,0.011493821195689424,0.1282048072344537,0.08641875459525217,,1.7011846036284675,0.07748104829354907,,,,3.73,2.15,1.96,,,0.0,0.0,1.0017776371639633,1.0017776371639633,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-02-07,0.4534786343574524,-0.05681755985164916,-0.023529483487482294,0.0,-0.05681755985164916,,1.6036440449586242,-0.06457689537794908,,,,3.73,2.23,1.96,,,0.0,0.0,1.0019259161554959,1.0019259161554959,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-02-10,0.4316244423389435,-0.0481923300520537,-0.10227171930657986,-0.03658433802542571,-0.11235932606566401,,1.5238409959336763,-0.12063083720685697,,,,3.73,2.27,1.98,,,0.0,0.0,1.0020742170946728,1.0020742170946728,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-02-11,0.3933788537979126,-0.08860848642811014,-0.13253056705680744,-0.17241402659865868,-0.2499999147701607,,1.3880511149364,-0.2561699854355314,,,,3.73,2.22,1.96,,,0.0,0.0,1.0022225399847426,1.0022225399847426,0.0,0.12594135279169927,0.12594135279169927,1,0,0
1992-02-12,0.3988426327705383,0.013889356074621384,-0.07594984517272196,-0.14117658005984146,-0.2234037021932347,,1.4065554208497382,-0.22979257351511528,,,,3.73,2.22,1.88,,,0.0,0.0,1.0023708848289545,1.0023708848289545,0.0,0.12368716918997923,0.12368716918997923,1,0,0
1992-02-13,0.3879155814647674,-0.02739689894700248,-0.013888068157196343,-0.19318102998187492,-0.18390759700319625,,1.3672669767051615,-0.19062139330152494,,,,3.73,2.18,1.83,,,0.0,0.0,1.002519251630558,1.002519251630558,0.0,0.15622872337797922,0.15622872337797922,1,0,0
1992-02-14,0.3742560744285583,-0.03521257636682418,-0.061644759917441116,-0.17469965269950793,-0.12179545501113931,,1.318395718205838,-0.12902023299175802,,,,3.73,2.14,1.86,,,0.0,0.0,1.0026676403928034,1.0026676403928034,0.0,0.2274456244935706,0.2274456244935706,1,0,0
