date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_unlevered,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1999-05-04,48.93798065185547,0.0,,,,,1.0343994941976509,,,,,4.76,0.3,2.21,,,0.3619874520504654,0.6382014368384233,0.0,1.0001888888888888,0.758720606962819,0.758720606962819,0.758720606962819,0,0,0
1999-05-05,48.0687370300293,-0.01776214731886805,,,,,1.015817110804002,,,,,4.76,0.31,2.21,,,0.35555777759956336,0.603845115230127,0.0,0.9594028928296903,0.752931203177238,0.7810194670351978,0.7810194670351978,0,0,0
1999-05-06,47.24296569824219,-0.017178968760324098,-0.03463598070528506,,,,0.9981608298528802,,,,,4.76,0.33,2.17,,,0.3494496616456902,0.5723941373764668,0.0,0.9218437990221571,0.7472820868955833,0.8036783402942396,0.8036783402942396,0,0,0
1999-05-07,51.545684814453125,0.09107639735604134,0.07233283001073487,,,,1.088845453426308,,,,,4.76,0.35,2.17,,,0.38127627788566726,0.7283681510600627,0.0,1.10964442894573,0.770931860128734,0.6933854558884306,0.6933854558884306,0,0,0
1999-05-10,49.15528106689453,-0.046374468709907135,0.04047830910673533,,,,1.0377094828915252,,,,,4.76,0.39,2.13,,,0.3635947930670285,0.6266730676061638,0.0,0.9902678606731923,0.755221250393233,0.7547486205301698,0.7547486205301698,0,0,0
1999-05-11,49.1118278503418,-0.0008839989439507479,-0.04721747267249199,0.003552398283923397,,,1.036578645373571,,,,,4.76,0.4,2.12,,,0.36327337565393125,0.6246502758092275,0.0,0.9879236514631587,0.7548573211327906,0.7561056255517148,0.7561056255517148,0,0,0
1999-05-12,51.1110725402832,0.04070800818152587,0.03978802340133236,0.06329135521811846,,,1.078553548375749,,,,,4.76,0.32,2.19,,,0.378061511202182,0.7005303891197079,0.0,1.0785919003218898,0.7663240309955014,0.7057357419491014,0.7057357419491014,0,0,0
1999-05-13,50.89377212524414,-0.0042515330678650765,0.036283403670750225,0.0772772490685909,,,1.073746883350558,,,,,4.76,0.29,2.2,,,0.3764541701856189,0.691196104833705,0.0,1.0676502750193237,0.764932906718101,0.7115037399793306,0.7115037399793306,0,0,0
1999-05-14,48.807579040527344,-0.040991127157619545,-0.04506838509288491,-0.05311998053342448,,,1.0295207386015648,,,,,4.76,0.32,2.12,,,0.36102288942652405,0.6058473880725536,0.0,0.9668702774990776,0.7510711293071278,0.7645751136781223,0.7645751136781223,0,0,0
1999-05-17,47.72105026245117,-0.022261476586945106,-0.062340080727072866,-0.0291775527128314,,,1.0059803553803324,,,,,4.76,0.35,2.09,,,0.3529859868262042,0.5650597840092123,0.0,0.9180457708354165,0.7436685634929444,0.7928235735436012,0.7928235735436012,0,0,0
1999-05-18,47.72105026245117,0.0,-0.022261476586945106,-0.028318587370210202,,,1.0057731969276085,,,,,4.76,0.3,2.11,,,0.3529859868262042,0.5647335407492091,0.0,0.9177195275754133,0.743577439352099,0.7930721636868698,0.7930721636868698,0,0,0
1999-05-19,48.199134826660156,0.010018316059258181,0.010018316059258181,-0.05697273739125708,-0.015097595269642605,,1.0156401599536642,-0.018135482808349312,,,,4.76,0.23,2.14,,,0.35652231200671824,0.5813707235875588,0.0,0.9378930355942771,0.7465792661663064,0.781231808055603,0.781231808055603,0,0,0
1999-05-20,47.54719924926758,-0.013525877170558198,-0.0036430676237733106,-0.06575603922108586,-0.010849833238512296,,1.0016964171396086,-0.013900822809744806,,,,4.76,0.25,2.21,,,0.3517000350059519,0.5574580363504376,0.0,0.9091580713563895,0.7421056938380771,0.7979642994324698,0.7979642994324698,0,0,0
1999-05-21,46.93876266479492,-0.012796475798351636,-0.026149269409045273,-0.03828947086641299,-0.0064391180560153805,,0.9886745965152938,-0.009503712281501375,,,,4.76,0.22,2.23,,,0.3471995140197188,0.5357480430304928,0.0,0.8829475570502117,0.7378481419065194,0.8226508069694125,0.8226508069694125,0,0,0
1999-05-24,45.4175910949707,-0.03240757709544673,-0.044789350117813265,-0.048269247110282576,-0.11888664864074394,,0.956043179842206,-0.12196613685276303,,,,4.76,0.22,2.27,,,0.3359476190016232,0.4833819081076206,0.0,0.8193295271092438,0.7266483485288168,0.8879136403155881,0.8879136403155881,0,0,0
1999-05-25,44.85258483886719,-0.01244025150788064,-0.04444467019349896,-0.06010901704401517,-0.08753273574352838,,0.9439553363644777,-0.09034720032220034,,,,4.76,0.19,2.27,,,0.33176834612776934,0.4650730605898441,0.0,0.7968414067176135,0.7224304666475561,0.9120893272710446,0.9120893272710446,0,0,0
1999-05-26,45.93910598754883,0.02422427052052778,0.011482662994776849,-0.046889406775435516,-0.06460199104096032,,0.9666228711063474,-0.06748718447890889,,,,4.76,0.22,2.24,,,0.3398051922945165,0.49858319888964076,0.0,0.8383883911841572,0.7297949288836816,0.8667542577873053,0.8667542577873053,0,0,0
1999-05-27,47.112571716308594,0.025543939167597562,0.050386992980681056,-0.009140970232135781,-0.07823159689758397,,0.9911100886220753,-0.08107475042417633,,,,4.76,0.19,2.19,,,0.34848515545532144,0.5364806138873358,0.0,0.8849657693426572,0.7374774878097472,0.8177798227558495,0.8177798227558495,0,0,0
1999-05-28,47.24296569824219,0.0027677109778418973,0.028382348386291056,0.006480849007880263,-0.07173385415444755,,0.9936485337508875,-0.07459704967871827,,,,4.76,0.22,2.18,,,0.3494496616456901,0.5406227691322943,0.0,0.8900724307779844,0.7382612548806865,0.8127029324982251,0.8127029324982251,0,0,0
1999-06-01,44.63526153564453,-0.05519772359876818,-0.052582783966482416,-0.017225254366535547,-0.08548503299904164,,0.9380283374799052,-0.08886892482218178,,,,4.76,0.24,2.12,,,0.3301608358104882,0.4508388836035814,0.0,0.7809997194140696,0.718172467412933,0.9239433250401896,0.9239433250401896,0,0,0
1999-06-02,43.983360290527344,-0.01460507282110568,-0.06899662964715458,-0.019379586515750002,-0.07832371566358409,,0.9241380211941994,-0.08135579760420941,,,,4.76,0.25,2.1,,,0.3253388127607989,0.4308363877680452,0.0,0.7561752005288441,0.7131715749354843,0.9517239576116012,0.9517239576116012,0,0,0
1999-06-03,44.244102478027344,0.005928200705396236,-0.008763453918709918,-0.03689674566111256,-0.07285983366463389,-0.09591483161555747,0.9294250637860433,-0.07590989039555851,-0.10148345102685186,0.03141935993138456,,4.76,0.26,2.12,,,0.32726748654010024,0.4382454696597595,0.0,0.7655129561998597,0.714990683576223,0.9411498724279135,0.9411498724279135,0,0,0
1999-06-04,45.46102523803711,0.02750474508131595,0.033595999435904966,-0.035055324260717,-0.05680827256485377,-0.05424964234785512,0.9547920053478882,-0.0599111348733512,-0.06007489419804457,0.03212986114848031,,4.76,0.26,2.12,-0.03999999999999998,-0.08999999999999986,0.3362688953307887,0.4741330555476957,0.0,0.8104019508784843,0.7233727493981889,0.8904159893042236,0.8904159893042236,1,0,0
1999-06-07,45.8521614074707,0.008603769215181023,0.036345158775499264,-0.029439394208548464,-0.03564958333109358,-0.029439394208548464,0.9624120107836466,-0.03921787647812547,-0.03581468837492119,0.03203911121364,,4.76,0.25,2.13,-0.06,-0.08000000000000007,0.33916207530045867,0.4860902382247711,0.0,0.8252523135252298,0.7260134306871069,0.8751759784327069,0.8751759784327069,1,0,0
1999-06-08,44.33102798461914,-0.033174737594893866,-0.024856396165753525,-0.006815991226632234,-0.05555610186826754,-0.1399662620800225,0.9302926330977535,-0.05905073683830331,-0.14561554151659517,0.032584892619658114,,4.76,0.26,2.13,-0.07,-0.040000000000000036,0.3279104624502263,0.4374597719741688,0.0,0.7653702344243951,0.7143774801600127,0.9394147338044931,0.9394147338044931,1,0,0
1999-06-09,45.547969818115234,0.027451243267318626,-0.0066341821196220785,0.035572760181419305,0.002870665748694101,-0.07338603646412223,0.9556334912686294,-0.0004285251777479404,-0.07909341966712613,0.026065910367845516,,4.76,0.26,2.1,-0.08999999999999997,-0.06999999999999984,0.3369120123248464,0.4732128435454768,0.0,0.8101248558703232,0.7227488990258591,0.8887330174627412,0.8887330174627412,1,0,0
1999-06-10,44.070255279541016,-0.032443038503694344,-0.005882396978671545,-0.003929273931427724,-0.017442240221755112,-0.10265495689070947,0.9244394309262632,-0.020674606823430253,-0.10818206119507134,0.025173983892713272,,4.76,0.26,2.09,-0.13,-0.040000000000000036,0.3259815629366343,0.4269088333012435,0.0,0.7528903962378778,0.7113510239422778,0.9511211381474736,0.9511211381474736,1,0,0
1999-06-11,43.983360290527344,-0.0019717378186826506,-0.03435080715640626,-0.03250399523047731,-0.042572567640988934,-0.13945534490864286,0.9224266871130434,-0.04572226181935801,-0.14475578101599607,0.02516730906886456,,4.76,0.32,2.07,-0.08000000000000002,-0.050000000000000266,0.32533881276079885,0.42413855406662077,0.0,0.7494773668274196,0.7106082832645754,0.9551466257739132,0.9551466257739132,1,0,0
1999-06-14,42.59256362915039,-0.03162097329967961,-0.03353036284944377,-0.07108929390162244,-0.0959405934020271,-0.16310853272312698,0.8927069330430493,-0.09928579752006594,-0.1686057981771133,0.023630961201394362,,4.76,0.32,2.08,0.0,-0.10999999999999988,0.0,0.0,0.6987331644586781,0.6987331644586781,0.0,1.0,1.0,0,0,1
1999-06-15,43.63565444946289,0.024489975043404222,-0.007905395103232626,-0.015685933008310005,-0.07635657913223504,-0.10596560396429311,0.9143809690994847,-0.07977424809573108,-0.11183822256798692,0.02462087868599054,,4.76,0.32,2.09,0.030000000000000027,-0.11000000000000032,0.0,0.0,0.6988651473897424,0.6988651473897424,0.0,0.9712380618010306,0.9712380618010306,0,0,0
