date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1980-03-17,0.1814996898174286,0.0,,,,,0.645001520031463,,,,,17.61,-2.24,2.34,,,0.0,1.0006988095238096,1.0006988095238096,0.0,1.0,0.0,0,0,0
1980-03-18,0.180047795176506,-0.007999433180205795,,,,,0.639618802078573,,,,,17.61,-2.02,2.34,,,0.0,1.00139810738237,1.00139810738237,0.0,1.0,0.0,0,0,0
1980-03-19,0.1844036132097244,0.02419256525162261,0.015999605262228656,,,,0.654864433274549,,,,,17.61,-1.98,2.34,,,0.0,1.0020978939169336,1.0020978939169336,0.0,1.0,0.0,0,0,0
1980-03-20,0.1836775839328766,-0.003937174897012952,0.020160139994006565,,,,0.6520587075732935,,,,,17.61,-2.41,2.34,,,0.0,1.0027981694689923,1.0027981694689923,0.0,1.0,0.0,0,0,0
1980-03-21,0.1771434992551803,-0.035573664122695026,-0.03937077928232935,,,,0.6286433464940572,,,,,17.61,-2.27,2.34,,,0.0,1.003498934380276,1.003498934380276,0.0,1.0,0.0,0,0,0
1980-03-24,0.173513650894165,-0.02049100518098268,-0.055335729167833025,-0.04400028964951275,,,0.61511800822211,,,,,17.61,-2.19,2.34,,,0.0,1.0042001889927539,1.0042001889927539,0.0,1.0,0.0,0,0,0
1980-03-25,0.174239695072174,0.004184363444993844,-0.016392383549019174,-0.03225865720065135,,,0.6174765364030294,,,,,17.61,-2.09,2.34,,,0.0,1.0049019336486333,1.0049019336486333,0.0,1.0,0.0,0,0,0
1980-03-26,0.1727877557277679,-0.008332999801248908,-0.004183504656010473,-0.06299148525222042,,,0.6121176243777533,,,,,17.61,-2.23,2.34,,,0.0,1.0056041686903616,1.0056041686903616,0.0,1.0,0.0,0,0,0
1980-03-27,0.1669796109199524,-0.033614330965478834,-0.041667222553473326,-0.09090914991034682,,,0.5913354677099533,,,,,17.61,-2.14,2.34,,,0.0,1.006306894460625,1.006306894460625,0.0,1.0,0.0,0,0,0
1980-03-28,0.173513650894165,0.03913076535640592,0.004201079893304316,-0.02049100518098268,,,0.6142606495791147,,,,,17.61,-2.17,2.34,,,0.0,1.0070101113023495,1.0070101113023495,0.0,1.0,0.0,0,0,0
