date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_unlevered,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
2006-05-25,4.185672760009766,0.0,,,,,0.4169845440146405,,,,,4.99,0.09,1.67,,,0.0,1.000198015873016,0.0,1.000198015873016,1.0,1.0,1.0,0,0,0
2006-05-26,4.088310718536377,-0.023260786749406903,,,,,0.40703695986289423,,,,,4.99,0.1,1.67,,,0.0,0.9298403989751086,0.0,0.9298403989751086,1.0,1.0,1.0,0,0,0
2006-05-30,4.003688335418701,-0.020698618315383555,-0.043477938918148884,,,,0.3976411043026909,,,,,4.99,0.1,1.67,,,0.0,0.8715749065696674,0.0,0.8715749065696674,1.0,1.0,1.0,0,0,0
2006-05-31,4.089219570159912,0.021363110106388028,0.000222304928882755,,,,0.40588845971264864,,,,,4.99,0.08,1.66,,,0.0,0.926873911188526,0.0,0.926873911188526,1.0,1.0,1.0,0,0,0
2006-06-01,4.3230719566345215,0.05718753480030525,0.07977234850934511,,,,0.428838730644552,,,,,4.99,0.07,1.66,,,0.0,1.0852355469508228,0.0,1.0852355469508228,1.0,1.0,1.0,0,0,0
2006-06-02,4.275754928588867,-0.010945232584675835,0.045616371346295814,0.021521550714559856,,,0.42388652118160697,,,,,4.99,0.08,1.67,,,0.0,1.048967712704142,0.0,1.048967712704142,1.0,1.0,1.0,0,0,0
2006-06-05,4.472301959991455,0.04596779625708214,0.034519435450967695,0.09392418235582345,,,0.4425615852102936,,,,,4.99,0.03,1.67,,,0.0,1.1929036384955214,0.0,1.1929036384955214,1.0,1.0,1.0,0,0,0
2006-06-06,4.394958019256592,-0.01729398896290335,0.027878840733059906,0.09772730818643316,,,0.43464290139561107,,,,,4.99,0.02,1.65,,,0.0,1.1303309563724113,0.0,1.1303309563724113,1.0,1.0,1.0,0,0,0
2006-06-07,4.331264019012451,-0.014492516189020255,-0.031535871736905974,0.059190866300943945,,,0.4280828035632059,,,,,4.99,0.0,1.67,,,0.0,1.0805345094189345,0.0,1.0805345094189345,1.0,1.0,1.0,0,0,0
2006-06-08,4.342179775238037,0.00252022416035369,-0.012008816418110468,0.004419963117706427,,,0.4289001412585743,,,,,4.99,-0.01,1.66,,,0.0,1.088047112930098,0.0,1.088047112930098,1.0,1.0,1.0,0,0,0
