date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_unlevered,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
2020-09-30,9.5,0.0,,,,,1.0486126036759642,,,,,0.09,0.56,2.75,,,0.38750407055490194,0.6124995008736694,0.0,1.0000035714285713,0.7416648755888431,0.741664875588843,0.741664875588843,0,0,0
2020-10-01,9.460000038146973,-0.004210522300318709,,,,,1.0433870242870564,,,,,0.09,0.54,2.75,,,0.38587247602436625,0.6047337030437314,0.0,0.9906061790680977,0.7403122221672581,0.7479355708555323,0.7479355708555323,0,0,0
2020-10-02,9.199999809265137,-0.027484167847082297,-0.03157896744577504,,,,1.0139229115856359,,,,,0.09,0.57,2.76,,,0.37526709212574333,0.5548453157176368,0.0,0.9301124078433802,0.7310238425942069,0.783292506097237,0.783292506097237,0,0,0
2020-10-05,9.029999732971191,-0.01847826954547782,-0.04545457753084847,,,,0.9928721564861543,,,,,0.09,0.64,2.74,,,0.3683328056458962,0.524062466917675,0.0,0.8923952725635712,0.7248358308101209,0.8142556870276914,0.8142556870276914,0,0,0
2020-10-06,9.899999618530273,0.09634550512581486,0.0760869373671269,,,,1.087686147269259,,,,,0.09,0.62,2.7,,,0.4038200158602587,0.6755032966125893,0.0,1.079323312472848,0.750572103098522,0.6947766232768893,0.6947766232768893,0,0,0
2020-10-07,10.0,0.010101049022522401,0.10741974481871264,0.05263157894736836,,,1.097820268786013,,,,,0.09,0.65,2.69,,,0.4078990216367389,0.6959398337712492,0.0,1.103838855407988,0.7536482071102212,0.6826156774567844,0.6826156774567844,0,0,0
2020-10-08,10.0,0.0,0.010101049022522401,0.05708244816865804,,,1.0969682809257697,,,,,0.09,0.65,2.68,,,0.4078990216367389,0.6959064967850198,0.0,1.1038055184217588,0.753640766826412,0.6836380628890764,0.6836380628890764,0,0,0
2020-10-09,9.949999809265137,-0.00500001907348635,-0.00500001907348635,0.08152174082054753,,,1.0906363485915527,,,,,0.09,0.63,2.67,,,0.4058595187484988,0.6854350241565851,0.0,1.091294542905084,0.7520623426020994,0.6912363816901368,0.6912363816901368,0,0,0
2020-10-12,9.890000343322754,-0.0060300971952294,-0.010999965667724654,0.09523816564594645,,,1.0815377376411073,,,,,0.09,0.63,2.67,,,0.4034121464028363,0.6730030648955826,0.0,1.0764152112984189,0.7501508450342175,0.7021547148306713,0.7021547148306713,0,0,0
2020-10-13,9.470000267028809,-0.042467144763802644,-0.048241160948502504,-0.04343427960306334,,,1.0348042113888212,,,,,0.09,0.58,2.65,,,0.3862803843820707,0.5872333780801656,0.0,0.9735137624622363,0.7354734301820378,0.7582349463334146,0.7582349463334146,0,0,0
2020-10-14,9.34000015258789,-0.013727572415550227,-0.05561174637432609,-0.06599998474121094,,,1.0198068031730079,,,,,0.09,0.59,2.64,,,0.38097769243275925,0.5630225406534347,0.0,0.944000233086194,0.7309480237540201,0.7762318361923906,0.7762318361923906,0,0,0
2020-10-15,9.90999984741211,0.06102780358802096,0.04646246757935413,-0.009000015258789018,0.043157878674958905,,1.0812036286061713,0.031080138476266228,,,,0.09,0.6,2.65,,,0.40422792421796316,0.6660707200121997,0.0,1.0702986442301627,0.7482148704338415,0.7025556456725945,0.7025556456725945,0,0,0
2020-10-16,9.710000038146973,-0.020181615776448725,0.039614548127878235,-0.024120580474251252,0.02642706120421634,,1.0585610344861476,0.01454303134492152,,,,0.09,0.62,2.64,,,0.3960699515652848,0.6257135955214103,0.0,1.0217835470866952,0.741582612942139,0.729726758616623,0.729726758616623,0,0,0
2020-10-19,9.569999694824219,-0.014418160944669856,-0.034308794936730336,-0.03235597951364921,0.040217379698906264,,1.0408713905768099,0.02657842986211878,,,,0.09,0.62,2.61,,,0.3903593512582689,0.5986200010103274,0.0,0.9889793522685963,0.7368604643680828,0.7509543313078282,0.7509543313078282,0,0,0
2020-10-20,9.270000457763672,-0.03134788366010055,-0.04531406577288433,-0.021119303445160997,0.026578154140599386,,1.0074598064557319,0.014692374918845896,,,,0.09,0.67,2.64,,,0.37812241172939237,0.5422976121213815,0.0,0.9204200238507738,0.7261232901420835,0.7910482322531218,0.7910482322531218,0,0,0
