date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_unlevered,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
2015-07-06,36.709999084472656,0.0,,,,,0.47594431874146553,,,,,0.14,1.7,2.84,,,0.15000083333333325,0.8500047222222223,0.0,1.0000055555555556,0.9000000000000001,0.9,0.9,0,0,0
2015-07-07,36.619998931884766,-0.0024516522700203103,,,,,0.4747699093987924,,,,,0.14,1.69,2.84,,,0.14963308344978665,0.8437077736546319,0.0,0.9933408571044186,0.8995758724177412,0.9,0.9,0,0,0
2015-07-08,34.70000076293945,-0.05243031744803206,-0.054753428811262994,,,,0.4498704094154002,,,,,0.14,1.67,2.87,,,0.14178777338378645,0.7109620855667722,0.0,0.8527498589505587,0.8891525090696756,0.9,0.9,0,0,0
2015-07-09,34.5,-0.005763710620809492,-0.05789183489131389,,,,0.4472703650382061,,,,,0.14,1.72,2.88,,,0.1409705496884334,0.698631318131282,0.0,0.8396018678197154,0.8880655581400687,0.9,0.9,0,0,0
2015-07-10,34.689998626708984,0.005507206571274903,-0.0002882459945404703,,,,0.4497264147055512,,,,,0.14,1.77,2.9,,,0.14174690362603376,0.7101357944874801,0.0,0.8518826981135139,0.8890716574477285,0.9,0.9,0,0,0
2015-07-13,36.77999877929688,0.060247916844215155,0.06608692113904002,0.0019068291084167743,,,0.4767987189498369,,,,,0.14,1.75,2.88,,,0.15028685928862,0.8384434828508661,0.0,0.9887303421394862,0.8986667696381748,0.9,0.9,0,0,0
2015-07-14,36.93000030517578,0.00407834504777993,0.06457197368529566,0.008465357245575955,,,0.47873564612764186,,,,,0.14,1.75,2.91,,,0.15089978095694614,0.8486564026655857,0.0,0.9995561836225318,0.8993554783416882,0.9,0.9,0,0,0
2015-07-15,37.5099983215332,0.015705334729610998,0.019847731551509318,0.08097975495132848,,,0.4862466075897605,,,,,0.14,1.72,2.91,,,0.15326971252749996,0.8885940960147832,0.0,1.041863808542283,0.9019259451054061,0.9,0.9,0,0,0
2015-07-16,38.630001068115234,0.02985877890426547,0.04603305575118544,0.11971017588739818,,,0.5007573643884992,,,,,0.14,1.69,2.88,,,0.15784615898657892,0.9681392331594049,0.0,1.1259853921459837,0.9065433944421224,0.9,0.9,0,0,0
2015-07-17,38.38999938964844,-0.006212831266652286,0.023460440082452738,0.10665900574843779,,,0.4976383198897832,,,,,0.14,1.66,2.87,,,0.15686548743470613,0.9500436787094753,0.0,1.1069091661441814,0.9055234206909479,0.9,0.9,0,0,0
2015-07-20,40.470001220703125,0.054180824801355554,0.047631377212324466,0.10032633398246094,,,0.5245757169440247,,,,,0.14,1.67,2.86,,,0.16536458892678518,1.104406961871413,0.0,1.2697715507981981,0.9131788240056072,0.9,0.9,0,0,0
2015-07-21,39.34999847412109,-0.027674887887304545,0.02500648866203181,0.06552932978465575,0.07191499470140483,,0.5100500216795765,0.07165901891275062,,,,0.14,1.64,2.87,,,0.1607881424677062,1.0126596933893737,0.0,1.17344783585708,0.9086520152809534,0.9,0.9,0,0,0
2015-07-22,38.38999938964844,-0.02439641986527652,-0.051396139567957966,0.023460440082452738,0.04833425749290621,,0.49759870434091724,0.04808391283902824,,,,0.14,1.58,2.85,,,0.15686548743470613,0.9384936016328389,0.0,1.095359089067545,0.9045272069525971,0.9,0.9,0,0,0
2015-07-23,37.0099983215332,-0.03594688955601655,-0.05946633401083379,-0.041936388863296314,0.06657053336612284,,0.47970394073898165,0.06631583384723982,,,,0.14,1.57,2.85,,,0.15122666108274005,0.8372409699953695,0.0,0.9884676310781095,0.898005993433291,0.9,0.9,0,0,0
2015-07-24,37.0,-0.00027015190452972515,-0.03620733033987078,-0.03620733033987078,0.07246376811594213,,0.479566712056985,0.07220766127892264,,,,0.14,1.57,2.87,,,0.15118580691223288,0.8365176079240707,0.0,0.9877034148363035,0.8979546527555613,0.9,0.9,0,0,0
2015-07-27,36.38999938964844,-0.01648650298247467,-0.01675220102682462,-0.10081546103259054,0.04900550101580481,,0.4716378051597824,0.04872159992776326,,,,0.14,1.55,2.9,,,0.1486932816556665,0.7951012612936939,0.0,0.9437945429493604,0.8949677605389271,0.9,0.9,0,0,0
2015-07-28,37.59999847412109,0.03325086850143899,0.0162161749762455,-0.044472682791866,0.02229471783685244,,0.4873124127222011,0.022050591485482496,,,,0.14,1.57,2.91,,,0.1536374624110465,0.874367840626975,0.0,1.0280053030380216,0.9003653243441396,0.9,0.9,0,0,0
2015-07-29,37.95000076293945,0.009308571888886119,0.04286895849013872,-0.01146128246169309,0.027619833450711173,,0.4918407641698767,0.02737443544937257,,,,0.14,1.59,2.9,,,0.15506760777472578,0.8987370396636979,0.0,1.0538046474384237,0.9018998393730361,0.9,0.9,0,0,0
2015-07-30,38.45000076293945,0.013175230301662566,0.02260644476896445,0.03890847086497784,0.025060050212442286,,0.4983129452798151,0.024815263493282336,,,,0.14,1.56,2.88,,,0.15711065921948567,0.9342101930015319,0.0,1.0913208522210176,0.9040241563546659,0.9,0.9,0,0,0
2015-07-31,38.70000076293945,0.0065019504561614205,0.01976284545249385,0.045945966565931196,0.0018120552132729895,,0.5015449656711237,0.0015728201692777333,,,,0.14,1.53,2.94,,,0.15813218494186562,0.952381735559593,0.0,1.1105139205014587,0.9050696666816145,0.9,0.9,0,0,0
2015-08-03,39.38999938964844,0.017829421527292277,0.02444729799888634,0.08244023221537589,0.02604845053135474,,0.5104628388430212,0.02577076250092314,,,,0.14,1.48,2.92,,,0.16095159032422587,1.003269232969073,0.0,1.164220823293299,0.9078344433725023,0.9,0.9,0,0,0
2015-08-04,38.95000076293945,-0.011170313113145536,0.006459948193060727,0.03590431764904278,-0.037558695624305805,0.06101884321250939,0.5047527723346712,-0.03778852884162143,0.06052904186225727,0.02685957193122662,,0.14,1.49,2.88,,,0.15915371066424555,0.9695967936740119,0.0,1.1287505043382575,0.9060000652328677,0.9,0.9,0,0,0
