date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1980-03-17,0.0759857445955276,0.0,,,,,0.3509717289212749,,,,,17.61,-2.24,2.34,,,0.0,1.0006988095238096,1.0006988095238096,0.0,1.0,0.0,0,0,0
1980-03-18,0.0753775537014007,-0.008004013086458484,,,,,0.3480006208000587,,,,,17.61,-2.02,2.34,,,0.0,1.00139810738237,1.00139810738237,0.0,1.0,0.0,0,0,0
1980-03-19,0.0753775537014007,0.0,-0.008004013086458484,,,,0.34783877029966465,,,,,17.61,-1.98,2.34,,,0.0,1.0020978939169336,1.0020978939169336,0.0,1.0,0.0,0,0,0
1980-03-20,0.0753775537014007,0.0,0.0,,,,0.34767699507380434,,,,,17.61,-2.41,2.34,,,0.0,1.0027981694689923,1.0027981694689923,0.0,1.0,0.0,0,0,0
1980-03-21,0.0753775537014007,0.0,0.0,,,,0.3475152950874686,,,,,17.61,-2.27,2.34,,,0.0,1.003498934380276,1.003498934380276,0.0,1.0,0.0,0,0,0
1980-03-24,0.0753775537014007,0.0,0.0,-0.008004013086458484,,,0.3470306462157609,,,,,17.61,-2.19,2.34,,,0.0,1.0042001889927539,1.0042001889927539,0.0,1.0,0.0,0,0,0
1980-03-25,0.0729463547468185,-0.03225361974750607,-0.03225361974750607,-0.03225361974750607,,,0.33568145804814825,,,,,17.61,-2.09,2.34,,,0.0,1.0049019336486333,1.0049019336486333,0.0,1.0,0.0,0,0,0
1980-03-26,0.0729463547468185,0.0,-0.03225361974750607,-0.03225361974750607,,,0.3355253370279236,,,,,17.61,-2.23,2.34,,,0.0,1.0056041686903616,1.0056041686903616,0.0,1.0,0.0,0,0,0
1980-03-27,0.066259354352951,-0.09167011041301076,-0.09167011041301076,-0.12096703727704372,,,0.30462594890082545,,,,,17.61,-2.14,2.34,,,0.0,1.006306894460625,1.006306894460625,0.0,1.0,0.0,0,0,0
1980-03-28,0.0692987442016601,0.045871105723712,-0.05000401401575849,-0.0806448233093513,,,0.3184513015925093,,,,,17.61,-2.17,2.34,,,0.0,1.0070101113023495,1.0070101113023495,0.0,1.0,0.0,0,0,0
1980-03-31,0.0729463547468185,0.05263602662905131,0.1009216050951407,-0.03225361974750607,,,0.33474582039905965,,,,,17.61,-1.99,2.34,,,0.0,1.0077138195587,1.0077138195587,0.0,1.0,0.0,0,0,0
1980-04-01,0.074161909520626,0.01666368083815062,0.07017681741553683,0.01666368083815062,-0.024002332077021515,,0.3401656377449973,-0.03078906443402296,,,,17.61,-1.9,2.34,,,0.0,1.0084180195730823,1.0084180195730823,0.0,1.0,0.0,0,0,0
1980-04-02,0.0753775537014007,0.016391759444066123,0.03332858732996846,0.03332858732996846,0.0,,0.3455807512132118,-0.006953635833417793,,,,17.61,-1.89,2.34,,,0.0,1.0091227116891412,1.0091227116891412,0.0,1.0,0.0,0,0,0
1980-04-03,0.07659313082695,0.016126513343278193,0.032782614714738756,0.15595951054628365,0.016126513343278193,,0.3509904468231981,0.009060739608808488,,,,17.61,-1.99,2.34,,,0.0,1.0098278962507623,1.0098278962507623,0.0,1.0,0.0,0,0,0
1980-04-07,0.0753775537014007,-0.015870576283083526,0.0,0.08771889836922875,0.0,,0.34477787312188135,-0.008338549840801401,,,,17.61,-1.72,2.34,,,0.0,1.010533573602071,1.010533573602071,0.0,1.0,0.0,0,0,0
1980-04-08,0.0759857445955276,0.008068594220186132,-0.007930035302966099,0.04166609639725216,0.008068594220186132,,0.3473981004209208,-0.0003372359956654858,,,,17.61,-1.68,2.34,,,0.0,1.0112397440874337,1.0112397440874337,0.0,1.0,0.0,0,0,0
1980-04-09,0.0857113227248191,0.12799214090828226,0.13709345177683008,0.1557324141037788,0.13709345177683008,,0.3916800770396085,0.12866134824325437,,,,17.61,-1.48,2.34,,,0.0,1.0119464080514569,1.0119464080514569,0.0,1.0,0.0,0,0,0
1980-04-10,0.0844957306981086,-0.014182397238381439,0.11199450828414848,0.12096674074656866,0.15832697865953094,,0.3859455328968802,0.14973741814932895,,,,17.61,-1.51,2.34,,,0.0,1.0126535658389881,1.0126535658389881,0.0,1.0,0.0,0,0,0
1980-04-11,0.0832801386713981,-0.01438643132223627,-0.0283647944767631,0.08730558174409042,0.14166278713235214,,0.38021623815324396,0.13319679974451826,,,,17.61,-1.43,2.34,,,0.0,1.0133612177951161,1.0133612177951161,0.0,1.0,0.0,0,0,0
1980-04-14,0.0832801386713981,0.0,-0.01438643132223627,0.10484002971630724,0.25688122808714087,,0.37968598416606475,0.2464006613227685,,,,17.61,-1.34,2.34,,,0.0,1.0140693642651706,1.0140693642651706,0.0,1.0,0.0,0,0,0
1980-04-15,0.0875351279973983,0.05109248608229744,0.05109248608229744,0.15199408077591547,0.2631560500240828,,0.39889947581654805,0.2526231603442475,,,,17.61,-1.15,2.34,,,0.0,1.0147780055947226,1.0147780055947226,0.0,1.0,0.0,0,0,0
