date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_unlevered,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1983-11-21,0.2627078592777252,0.0,,,,,0.3963322049177019,,,,,9.47,1.0,2.34,,,0.0,1.0003757936507935,0.0,1.0003757936507935,1.0,1.0,1.0,0,0,0
1983-11-22,0.26057666540145874,-0.0081124100440918,,,,,0.3930199038518263,,,,,9.47,0.97,2.34,,,0.0,0.9749447034651946,0.0,0.9749447034651946,1.0,1.0,1.0,0,0,0
1983-11-23,0.2595107853412628,-0.00409046626855003,-0.01216969277299984,,,,0.39131559851823555,,,,,9.47,0.95,2.34,,,0.0,0.9619105555886823,0.0,0.9619105555886823,1.0,1.0,1.0,0,0,0
1983-11-25,0.26004377007484436,0.002053805713241097,-0.0020450615783011994,,,,0.39192561806468046,,,,,9.47,0.92,2.34,,,0.0,0.9667616778530801,0.0,0.9667616778530801,1.0,1.0,1.0,0,0,0
1983-11-28,0.257379412651062,-0.010245803708412327,-0.008213040885364342,,,,0.3876226790157454,,,,,9.47,0.94,2.34,,,0.0,0.9360045368858915,0.0,0.9360045368858915,1.0,1.0,1.0,0,0,0
1983-11-29,0.2531162202358246,-0.016563843903930175,-0.026639937719046047,-0.03651066651858592,,,0.38110800847772136,,,,,9.47,0.93,2.34,,,0.0,0.8885044960411494,0.0,0.8885044960411494,1.0,1.0,1.0,0,0,0
1983-11-30,0.251517653465271,-0.006315544571044218,-0.022774778780531246,-0.03476524623657662,,,0.3786075725827361,,,,,9.47,0.96,2.34,,,0.0,0.8707015924270487,0.0,0.8707015924270487,1.0,1.0,1.0,0,0,0
1983-12-01,0.2541818916797638,0.010592648976270214,0.004210206058490984,-0.02053438223961057,,,0.38252353101874215,,,,,9.47,0.97,2.34,,,0.0,0.897372293476586,0.0,0.897372293476586,1.0,1.0,1.0,0,0,0
1983-12-02,0.2531162202358246,-0.004192554539966253,0.006355684177748344,-0.026639937719046047,,,0.3808257010042293,,,,,9.47,0.98,2.34,,,0.0,0.8851006919500344,0.0,0.8851006919500344,1.0,1.0,1.0,0,0,0
1983-12-05,0.2520505487918854,-0.004210206058490984,-0.008385109079932507,-0.020704312766465005,,,0.3789414356698672,,,,,9.47,0.98,2.34,,,0.0,0.8729500870341477,0.0,0.8729500870341477,1.0,1.0,1.0,0,0,0
1983-12-06,0.25098472833633423,-0.004228598035829645,-0.008421000825251213,-0.008421000825251213,,,0.37724584977847686,,,,,9.47,1.02,2.34,,,0.0,0.8609181725294347,0.0,0.8609181725294347,1.0,1.0,1.0,0,0,0
1983-12-07,0.24991899728775024,-0.004246198785273658,-0.008456841353260192,-0.0063560396476961545,-0.048680926505723865,,0.37555121267202324,-0.05243326680957905,,,,9.47,1.04,2.34,,,0.0,0.8490066866065401,0.0,0.8490066866065401,1.0,1.0,1.0,0,0,0
1983-12-08,0.24991899728775024,0.0,-0.004246198785273658,-0.016771038895973978,-0.040900316600831155,,0.37545845934844596,-0.044683346393574075,,,,9.47,1.06,2.34,,,0.0,0.8480631395604284,0.0,0.8480631395604284,1.0,1.0,1.0,0,0,0
1983-12-09,0.24832040071487427,-0.006396458813554662,-0.006396458813554662,-0.018947104679748028,-0.04312107726726244,,0.3729647175078668,-0.04689534759119396,,,,9.47,1.05,2.34,,,0.0,0.8308649242558929,0.0,0.8308649242558929,1.0,1.0,1.0,0,0,0
1983-12-12,0.24885335564613342,0.0021462390110713603,-0.004263948131921547,-0.012684729952291529,-0.04303281107442092,,0.37348832068748644,-0.04704284825329097,,,,9.47,1.05,2.34,,,0.0,0.8352852978559868,0.0,0.8352852978559868,1.0,1.0,1.0,0,0,0
1983-12-13,0.25098472833633423,0.008564773758693356,0.010729394821326732,0.0,-0.024845360585997067,,0.3765941297758904,-0.02845176465902033,,,,9.47,1.02,2.34,,,0.0,0.8557952369515816,0.0,0.8557952369515816,1.0,1.0,1.0,0,0,0
1983-12-14,0.251517653465271,0.0021233368757904714,0.010706296534438442,0.00639669730940895,-0.006315544571044218,,0.37730055758300185,-0.009990477266347164,,,,9.47,1.05,2.34,,,0.0,0.860289511713425,0.0,0.860289511713425,1.0,1.0,1.0,0,0,0
1983-12-15,0.24991899728775024,-0.0063560396476961545,-0.004246198785273658,0.0,-0.0063560396476961545,,0.3748098271945301,-0.010030822580486265,,,,9.47,1.03,2.34,,,0.0,0.8429475534852631,0.0,0.8429475534852631,1.0,1.0,1.0,0,0,0
