date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1980-03-17,1.6776642799377441,0.0,,,,,1.1616105292131829,,,,,17.61,-2.24,2.34,,,0.0,1.0006988095238096,1.0006988095238096,0.0,0.6060673649441806,0.0,0,0,0
1980-03-18,1.6419693231582642,-0.02127657911438907,,,,,1.1364991100982276,,,,,17.61,-2.02,2.34,,,0.0,1.00139810738237,1.00139810738237,0.0,0.6362010678821269,0.0,0,0,0
1980-03-19,1.7133593559265137,0.04347829874856224,0.021276650171090372,,,,1.1854987499547298,,,,,17.61,-1.98,2.34,,,0.0,1.0020978939169336,1.0020978939169336,0.0,0.5774015000543242,0.0,0,0,0
1980-03-20,1.6776642799377441,-0.02083338551559555,0.021739113073575567,,,,1.160396143287959,,,,,17.61,-2.41,2.34,,,0.0,1.0027981694689923,1.0027981694689923,0.0,0.6075246280544492,0.0,0,0,0
1980-03-21,1.6776642799377441,0.0,-0.02083338551559555,,,,1.159991630169359,,,,,17.61,-2.27,2.34,,,0.0,1.003498934380276,1.003498934380276,0.0,0.6080100437967694,0.0,0,0,0
1980-03-24,1.5705795288085938,-0.06382966628646591,-0.06382966628646591,-0.06382966628646591,,,1.084814463865544,,,,,17.61,-2.19,2.34,,,0.0,1.0042001889927539,1.0042001889927539,0.0,0.6982226433613473,0.0,0,0,0
1980-03-25,1.6062747240066528,0.02272740382980576,-0.04255294505867435,-0.021738895269342917,,,1.1090827201394835,,,,,17.61,-2.09,2.34,,,0.0,1.0049019336486333,1.0049019336486333,0.0,0.6691007358326199,0.0,0,0,0
1980-03-26,1.6062747240066528,0.0,0.02272740382980576,-0.06249980866503857,,,1.1086960948369913,,,,,17.61,-2.23,2.34,,,0.0,1.0056041686903616,1.0056041686903616,0.0,0.6695646861956105,0.0,0,0,0
1980-03-27,1.4277997016906738,-0.11111114409544787,-0.11111114409544787,-0.1489359827440222,,,0.985164056164702,,,,,17.61,-2.14,2.34,,,0.0,1.006306894460625,1.006306894460625,0.0,0.829671887670596,0.0,0,0,0
1980-03-28,1.6241222620010376,0.13750007096786465,0.01111113667397201,-0.031914619973129166,,,1.1202335351553299,,,,,17.61,-2.17,2.34,,,0.0,1.0070101113023495,1.0070101113023495,0.0,0.6557197578136043,0.0,0,0,0
1980-03-31,1.7133593559265137,0.054944812969640155,0.19999979962014658,0.09090900810749103,,,1.1805490807078645,,,,,17.61,-1.99,2.34,,,0.0,1.0077138195587,1.0077138195587,0.0,0.5833411031505626,0.0,0,0,0
1980-04-01,1.6955112218856812,-0.01041704063954585,0.04395540998045755,0.05555494122228288,0.010637969802038905,,1.1678440015539344,0.005366232643374769,,,,17.61,-1.9,2.34,,,0.0,1.0084180195730823,1.0084180195730823,0.0,0.5985871981352787,0.0,0,0,0
1980-04-02,1.6955112218856812,0.0,-0.01041704063954585,0.05555494122228288,0.032608342904014265,,1.167436892118213,0.027222002855164185,,,,17.61,-1.89,2.34,,,0.0,1.0091227116891412,1.0091227116891412,0.0,0.5990757294581445,0.0,0,0,0
1980-04-03,1.6776642799377441,-0.010525994589459797,-0.010525994589459797,0.17499974117602268,-0.02083338551559555,,1.1547457739284155,-0.02594096031521642,,,,17.61,-1.99,2.34,,,0.0,1.0098278962507623,1.0098278962507623,0.0,0.6143050712859015,0.0,0,0,0
1980-04-07,1.5884273052215576,-0.05319119908751824,-0.06315730340317594,-0.021977998587065173,-0.05319119908751824,,1.0917997320067883,-0.05911464949099554,,,,17.61,-1.72,2.34,,,0.0,1.010533573602071,1.010533573602071,0.0,0.6898403215918542,0.0,0,0,0
1980-04-08,1.6062747240066528,0.011235905304842309,-0.04255294505867435,-0.06249980866503857,-0.04255294505867435,,1.1036822135492783,-0.0485429507899634,,,,17.61,-1.68,2.34,,,0.0,1.0112397440874337,1.0112397440874337,0.0,0.6755813437408661,0.0,0,0,0
1980-04-09,1.6776642799377441,0.04444417562209968,0.056179451475583564,-0.010525994589459797,0.06818168017915172,,1.1523326174171054,0.062239355945690855,,,,17.61,-1.48,2.34,,,0.0,1.0119464080514569,1.0119464080514569,0.0,0.6172008590994736,0.0,0,0,0
1980-04-10,1.7490549087524414,0.042553584568985725,0.0888890191770193,0.03157967117859073,0.0888890191770193,,1.2009497048559945,0.08283149944393453,,,,17.61,-1.51,2.34,,,0.0,1.0126535658389881,1.0126535658389881,0.0,0.5588603541728067,0.0,0,0,0
1980-04-11,1.7490549087524414,0.0,0.042553584568985725,0.042553584568985725,0.0888890191770193,,1.200531054799974,0.08283149944393453,,,,17.61,-1.43,2.34,,,0.0,1.0133612177951161,1.0133612177951161,0.0,0.5593627342400314,0.0,0,0,0
1980-04-14,1.6776642799377441,-0.040816688176827154,-0.040816688176827154,0.056179451475583564,0.17499974117602268,,1.1503255063581017,0.16764867654264837,,,,17.61,-1.34,2.34,,,0.0,1.0140693642651706,1.0140693642651706,0.0,0.619609392370278,0.0,0,0,0
1980-04-15,1.6598163843154907,-0.010638538255648977,-0.05102099653383807,0.03333281630385421,0.02197748479260131,,1.1376909880296864,0.015583762069697249,,,,17.61,-1.15,2.34,,,0.0,1.0147780055947226,1.0147780055947226,0.0,0.6347708143643764,0.0,0,0,0
1980-04-16,1.6776642799377441,0.010752933752737892,0.0,0.0,-0.02083338551559555,0.0,1.1495236411411465,-0.026280516476379745,-0.010405284532177483,0.049021905469911954,,17.61,-1.07,2.34,,,0.0,1.0154871421295848,1.0154871421295848,0.0,0.6205716306306243,0.0,0,0,0
1980-04-17,1.6598163843154907,-0.010638538255648977,0.0,-0.05102099653383807,-0.021052551648990003,0.010869302431849581,1.1368979300422712,-0.02649846338251194,0.0003509197152025134,0.04908607653388531,,17.61,-0.84,2.34,1.4000000000000004,0.0,0.0,1.0161967742158111,1.0161967742158111,0.0,0.6357224839492746,0.0,0,0,0
1980-04-18,1.6419693231582642,-0.010752431007353125,-0.02127657911438907,-0.06122482779603455,-0.031578616547208616,-0.041666701454841415,1.124281453247162,-0.036965971490543814,-0.05163843210286423,0.04891316471686879,,17.61,-0.71,2.34,1.31,0.0,0.0,1.0169069021996977,1.0169069021996977,0.0,0.6508622561034055,0.0,0,0,0
1980-04-21,1.6062747240066528,-0.021738895269342917,-0.03225758030513626,-0.04255294505867435,-0.04255294505867435,-0.04255294505867435,1.0986910066496904,-0.04854295078996318,-0.05317592358022527,0.048195466114883796,,17.61,-0.66,2.34,1.3199999999999998,0.0,0.0,1.0176175264277827,1.0176175264277827,0.0,0.6815707920203715,0.0,0,0,0
1980-04-22,1.6955112218856812,0.05555494122228288,0.032608342904014265,0.021505292939321796,0.06741505658591485,0.010637969802038905,1.159324440489831,0.0618471561253533,-0.0005751676668825922,0.04949557356252246,,17.61,-0.61,2.34,1.8000000000000003,0.0,0.0,1.018328647246846,1.018328647246846,0.0,0.6088106714122028,0.0,0,0,0
1980-04-23,1.7133593559265137,0.010526697677047725,0.06666644897004392,0.021276650171090372,0.06666644897004392,0.09090900810749103,1.1711199046059855,0.06110245343162468,0.07955778947941705,0.04952984667222158,,17.61,-0.49,2.34,1.78,0.0,0.0,1.0190402650039103,1.0190402650039103,0.0,0.5946561144728175,0.0,0,0,0
1980-04-24,1.784748911857605,0.04166642314944302,0.05263173066626892,0.07526888439147239,0.06382959522976472,0.1111106245921436,1.2194910203211506,0.05828039742082236,0.09954920239653697,0.04792184598786316,,17.61,-0.46,2.34,1.73,0.0,0.0,1.0197523800462405,1.0197523800462405,0.0,0.5366107756146192,0.0,0,0,0
1980-04-25,1.7490549087524414,-0.019999453630714092,0.020833663820994053,0.06521777482919244,0.0,0.0888890191770193,1.1946852547027746,-0.005216246881855069,0.0775588191085188,0.04811580103121966,,17.61,-0.44,2.34,1.65,0.0,0.0,1.0204649927213443,1.0204649927213443,0.0,0.5663776943566705,0.0,0,0,0
1980-04-28,1.784748911857605,0.02040759436799111,0.0,0.1111106245921436,0.02040759436799111,0.24999949905036645,1.2177914551079398,0.014377304309584726,0.23613061955271597,0.0482120349549309,,17.61,-0.11,2.34,2.12,0.0,0.0,1.0211781033769722,1.0211781033769722,0.0,0.5386502538704723,0.0,0,0,0
1980-04-29,1.8204439878463745,0.020000054770515252,0.0408158021436007,0.07368442293277666,0.0851062454008551,0.12087866193241759,1.2417143393884142,0.07944606333180171,0.10844239207339923,0.04055493038921708,,17.61,-0.07,2.34,2.0700000000000003,0.0,0.0,1.021891712361118,1.021891712361118,0.0,0.509942792733903,0.0,0,0,0
1980-04-30,1.8382923603057861,0.00980440627592527,0.030000549708951496,0.07291698845728356,0.1075275420081474,0.07291698845728356,1.2534515067362009,0.1017504049205793,0.06175298191297873,0.02928981541945884,,17.61,-0.05,2.34,2.12,0.0,0.0,1.022605820022018,1.022605820022018,0.0,0.495858191916559,0.0,0,0,0
1980-05-01,1.784748911857605,-0.029126731745365397,-0.01960789578096145,0.0,0.06382959522976472,0.05263173066626892,1.216518335791483,0.05828039742082214,0.04167879800108798,0.028066028382088118,,10.98,-0.13,2.34,1.8599999999999999,0.0,0.0,1.0230513839864563,1.0230513839864563,0.0,0.5401779970502204,0.27549077849561227,0,0,0
1980-05-02,1.784748911857605,0.0,-0.029126731745365397,0.02040759436799111,0.07526888439147239,0.05263173066626892,1.216094258523826,0.06966001642610964,0.04167879800108798,0.02793001004621735,,10.98,0.2,2.34,2.1,0.0,0.0,1.023497142089479,1.023497142089479,0.0,0.540686889771409,0.27575031378341847,0,0,0
1980-05-05,1.8025968074798584,0.010000227765191383,0.010000227765191383,0.010000227765191383,0.09782611773320671,0.07446813348541359,1.2269714193421044,0.09133830839097445,0.06254679345392122,0.027965237646552666,,10.98,0.33,2.34,2.2199999999999998,0.0,0.0,1.023943094415675,1.023943094415675,0.0,0.5276342967894747,0.269093491362632,0,0,0
1980-05-06,1.784748911857605,-0.009901213376276807,0.0,-0.01960789578096145,0.1111106245921436,0.12359495835326495,1.2143994272677268,0.1053147972612185,0.11229137695023383,0.02795099115675472,,10.98,0.4,2.34,2.39,0.0,0.0,1.0243892410496704,1.0243892410496704,0.0,0.542720687278728,0.27678755051215115,0,0,0
1980-05-07,1.7312067747116089,-0.029999814982527906,-0.039603993789413816,-0.0582527501644865,0.021052973501542782,0.07777751142925826,1.1775570305970904,0.015726909112306675,0.06693486235520796,0.02609941655040777,,10.98,0.55,2.34,2.27,0.0,0.0,1.024835582076128,1.024835582076128,0.0,0.5869315632834916,0.2993350972745806,0,0,0
1980-05-08,1.6598163843154907,-0.04123735618352731,-0.07000005811018073,-0.07000005811018073,-0.031250287002442145,-0.010638538255648977,1.1286041242550604,-0.03630352467216347,-0.02059170486315931,0.027773850157734755,,10.98,0.7,2.34,2.38,0.0,0.0,1.0252821175797469,1.0252821175797469,0.0,0.6456750508939275,0.3292942759559029,0,0,0
