date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_unlevered,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1997-10-09,3.1574418544769287,0.0,,,,,2.394887128505894,,,,,5.5,0.29,1.54,,,0.0,0.0,1.000218253968254,1.000218253968254,0.0,0.2,0.2,1,0,0
1997-10-10,3.303374767303467,0.046218717415055455,,,,,2.50452584319994,,,,,5.5,0.29,1.51,,,0.0,0.0,1.0004365555713026,1.0004365555713026,0.0,0.2,0.2,1,0,0
1997-10-13,3.230407476425171,-0.022088711096458158,0.023109094422367304,,,,2.446126558361503,,,,,5.5,0.29,1.51,,,0.0,0.0,1.0006549048195426,1.0006549048195426,0.0,0.2,0.2,1,0,0
1997-10-14,3.097743034362793,-0.04106740187748292,-0.06224898699838721,,,,2.3446876033653674,,,,,5.5,0.26,1.55,,,0.0,0.0,1.0008733017233722,1.0008733017233722,0.0,0.2,0.2,1,0,0
1997-10-15,3.011509895324707,-0.027837408746146708,-0.06776160057142389,,,,2.278462445160996,,,,,5.5,0.26,1.54,,,0.0,0.0,1.0010917462931928,1.0010917462931928,0.0,0.2,0.2,1,0,0
1997-10-16,2.9186439514160156,-0.03083700440528636,-0.05781599085529643,-0.07563018230163832,,,2.2072761989551846,,,,,5.5,0.25,1.55,,,0.0,0.0,1.0013102385394077,1.0013102385394077,0.0,0.2,0.2,1,0,0
1997-10-17,2.666579008102417,-0.08636371805177068,-0.11453752410303764,-0.19277127303386887,,,2.0158025955958827,,,,,5.5,0.26,1.47,,,0.0,0.0,1.0015287784724223,1.0015287784724223,0.0,0.2,0.2,1,0,0
1997-10-20,2.3349151611328125,-0.12437803116346513,-0.19999999999999996,-0.277207232161104,,,1.7628631324239672,,,,,5.5,0.25,1.52,,,0.0,0.0,1.0017473661026446,1.0017473661026446,0.0,0.2,0.2,1,0,0
1997-10-21,2.666579008102417,0.1420453524352867,0.0,-0.13918650497395646,,,2.0124260387659074,,,,,5.5,0.22,1.45,,,0.0,0.0,1.0019660014404845,1.0019660014404845,0.0,0.2,0.2,1,0,0
1997-10-22,2.3548150062561035,-0.11691534392906289,0.008522727272727293,-0.2180616740088106,,,1.7763978906665092,,,,,5.5,0.21,1.47,,,0.0,0.0,1.0021846844963544,1.0021846844963544,0.0,0.2,0.2,1,0,0
1997-10-23,2.2155158519744873,-0.05915503082472984,-0.16915424397978518,-0.24090917259722522,,,1.6706146973356388,,,,,5.5,0.25,1.45,,,0.0,0.0,1.0024034152806691,1.0024034152806691,0.0,0.2,0.2,1,0,0
1997-10-24,2.0961170196533203,-0.05389211375524927,-0.10985915492957743,-0.2139302779762926,-0.33613440365299474,,1.5799194381089012,-0.34029482253947785,,,,5.5,0.22,1.48,,,0.0,0.0,1.0026221938038455,1.0026221938038455,0.0,0.2,0.2,1,0,0
1997-10-27,1.8175188302993774,-0.132911563019521,-0.17964079170113423,-0.22159106225616088,-0.44979938446917067,,1.3682084965491483,-0.4537055785373575,,,,5.5,0.29,1.61,,,0.0,0.0,1.0028410200763027,1.0028410200763027,0.0,0.35814980414102204,0.35814980414102204,1,0,0
1997-10-28,2.228783130645752,0.226277875909892,0.06329136672645008,-0.16417885092713158,-0.3100613012720721,,1.6771007686388382,-0.3143851192383863,,,,5.5,0.24,1.56,,,0.0,0.0,1.0030598941084623,1.0030598941084623,0.0,0.2,0.2,1,0,0
1997-10-29,2.023150682449341,-0.09226220594052714,0.11313877398238126,-0.14084517166980026,-0.3468952524444934,,1.5217298432895985,-0.35098823352610586,,,,5.5,0.24,1.59,,,0.0,0.0,1.003278815910748,1.003278815910748,0.0,0.2,0.2,1,0,0
1997-10-30,1.9700846672058105,-0.026229393442551485,-0.11607161768358676,-0.11077834742186399,-0.3458149779735683,,1.4811948759169415,-0.3499147290916702,,,,5.5,0.23,1.61,,,0.0,0.0,1.0034977854935856,1.0034977854935856,0.0,0.2225661488996702,0.2225661488996702,1,0,0
1997-10-31,2.0961170196533203,0.06397306397306401,0.03606569586583741,0.0,-0.28181818181818186,,1.5752910887569513,-0.2863189982737021,,,,5.5,0.21,1.6,,,0.0,0.0,1.0037168028674037,1.0037168028674037,0.0,0.2,0.2,1,0,0
1997-11-03,2.4078807830810547,0.14873394972924614,0.22222198018330586,0.3248175165725431,-0.09701502345713597,,1.8073165212496323,-0.10342583882060175,,,,5.5,0.22,1.56,,,0.0,0.0,1.0039358680426327,1.0039358680426327,0.0,0.2,0.2,1,0,0
1997-11-04,2.4078807830810547,0.0,0.14873394972924614,0.08035669777499277,0.031249795779664247,,1.8065592119844058,0.024786994949719032,,,,5.5,0.22,1.51,,,0.0,0.0,1.0041549810297055,1.0041549810297055,0.0,0.2,0.2,1,0,0
