date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_unlevered,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1983-11-21,1.0710638761520386,0.0,,,,,0.44684450600889325,,,,,9.47,1.0,2.34,,,0.0,1.0003757936507935,0.0,1.0003757936507935,1.0,1.0,1.0,0,0,0
1983-11-22,1.067252278327942,-0.00355870262172453,,,,,0.44516185926884855,,,,,9.47,0.97,2.34,,,0.0,0.9885957714458936,0.0,0.9885957714458936,1.0,1.0,1.0,0,0,0
1983-11-23,1.0615347623825073,-0.005357230020995751,-0.008896867854199408,,,,0.44268507919386674,,,,,9.47,0.95,2.34,,,0.0,0.9716263443079572,0.0,0.9716263443079572,1.0,1.0,1.0,0,0,0
1983-11-25,1.0501004457473755,-0.010771495235321948,-0.0160710198786721,,,,0.43773484521756256,,,,,9.47,0.92,2.34,,,0.0,0.9391838116472857,0.0,0.9391838116472857,1.0,1.0,1.0,0,0,0
1983-11-28,1.0215133428573608,-0.02722320803289313,-0.03770146861259871,,,,0.4255530815271601,,,,,9.47,0.94,2.34,,,0.0,0.8615225009858661,0.0,0.8615225009858661,1.0,1.0,1.0,0,0,0
1983-11-29,1.010079026222229,-0.011193506883765192,-0.038111991750144014,-0.05693857414826364,,,0.42070227040615865,,,,,9.47,0.93,2.34,,,0.0,0.8316668221918192,0.0,0.8316668221918192,1.0,1.0,1.0,0,0,0
1983-11-30,1.010079026222229,0.0,-0.011193506883765192,-0.05357051305178373,,,0.4206149087776309,,,,,9.47,0.96,2.34,,,0.0,0.830742545874792,0.0,0.830742545874792,1.0,1.0,1.0,0,0,0
1983-12-01,1.010079026222229,0.0,0.0,-0.04847296384792066,,,0.42052756529032725,,,,,9.47,0.97,2.34,,,0.0,0.8298192967560218,0.0,0.8298192967560218,1.0,1.0,1.0,0,0,0
1983-12-02,1.0081719160079956,-0.001888080204344167,-0.001888080204344167,-0.039928113457316505,,,0.41964641504633904,,,,,9.47,0.98,2.34,,,0.0,0.8242020012250869,0.0,0.8242020012250869,1.0,1.0,1.0,0,0,0
1983-12-05,0.9967373013496399,-0.011341929364222625,-0.01320859509625516,-0.02425425147988547,,,0.41462840668511414,,,,,9.47,0.98,2.34,,,0.0,0.7952730652782171,0.0,0.7952730652782171,1.0,1.0,1.0,0,0,0
1983-12-06,1.0005491971969604,0.003824373625988642,-0.00756093151376247,-0.009434736072989058,,,0.4161276709980463,,,,,9.47,1.02,2.34,,,0.0,0.8035033590323488,0.0,0.8035033590323488,1.0,1.0,1.0,0,0,0
1983-12-07,1.010079026222229,0.009524598142666374,0.01338539739058997,0.0,-0.05693857414826364,,0.4200038851213042,-0.060067026732236184,,,,9.47,1.04,2.34,,,0.0,0.8255440063645206,0.0,0.8255440063645206,1.0,1.0,1.0,0,0,0
1983-12-08,1.0119844675064087,0.0018864279276307183,0.011428993538233012,0.0018864279276307183,-0.05178514203607132,,0.42070881104790087,-0.054930690291190576,,,,9.47,1.06,2.34,,,0.0,0.8292933302384171,0.0,0.8292933302384171,1.0,1.0,1.0,0,0,0
1983-12-09,1.0138897895812988,0.0018827582201779158,0.0037727378354963648,0.005671526336444632,-0.04488310179713206,,0.4214133765500856,-0.048051546445877724,,,,9.47,1.05,2.34,,,0.0,0.8330505625471557,0.0,0.8330505625471557,1.0,1.0,1.0,0,0,0
1983-12-12,1.0157949924468994,0.001879102526900267,0.0037653986428072272,0.01912007413734229,-0.032668735109487756,,0.4219422889049803,-0.03607790534640454,,,,9.47,1.05,2.34,,,0.0,0.8368156915569074,0.0,0.8368156915569074,1.0,1.0,1.0,0,0,0
1983-12-13,1.0310416221618652,0.015009553924103303,0.016916860941709855,0.030475687802588247,0.009327611206577213,,0.42818652019252523,0.006188273049074544,,,,9.47,1.02,2.34,,,0.0,0.8735245071743388,0.0,0.8735245071743388,1.0,1.0,1.0,0,0,0
1983-12-14,1.034853458404541,0.003697073096509129,0.01876211843861575,0.02452722167192234,0.02452722167192234,,0.4296803125456237,0.02134060776709723,,,,9.47,1.05,2.34,,,0.0,0.8822313967116051,0.0,0.8822313967116051,1.0,1.0,1.0,0,0,0
1983-12-15,1.0272305011749268,-0.007366219021354703,-0.0036963793750124374,0.015065481890334853,0.01698032976374675,,0.42642662453357444,0.01381718915488106,,,,9.47,1.03,2.34,,,0.0,0.8617764632638703,0.0,0.8617764632638703,1.0,1.0,1.0,0,0,0
1983-12-16,1.0329478979110718,0.005565836226246734,-0.0018413819637874695,0.018797021654240353,0.022640675724526327,,0.4287110021028226,0.01945992959307108,,,,9.47,1.01,2.34,,,0.0,0.8751922525970873,0.0,0.8751922525970873,1.0,1.0,1.0,0,0,0
1983-12-19,1.0291364192962646,-0.0036899040334126276,0.0018553947912935964,0.013133975800794007,0.020794571794145122,,0.42686306629096576,0.017196980567151687,,,,9.47,1.0,2.34,,,0.0,0.8645422447854032,0.0,0.8645422447854032,1.0,1.0,1.0,0,0,0
1983-12-20,1.0234190225601196,-0.00555552852755381,-0.009224933193844875,-0.007393105610773221,0.026769060588332616,,0.4244034678373756,0.023575473833091776,,,,9.47,0.99,2.34,,,0.0,0.8491884783853922,0.0,0.8491884783853922,1.0,1.0,1.0,0,0,0
1983-12-21,1.0177017450332642,-0.005586448366528773,-0.011110941220814685,-0.016574050395231854,0.017143132875781175,-0.04982161410436703,0.4219449219057502,0.013979485896123522,-0.05572315149522611,0.008610677553644202,,9.47,0.95,2.34,,,0.0,0.8340287031569302,0.0,0.8340287031569302,1.0,1.0,1.0,0,0,0
1983-12-22,1.0043604373931885,-0.013109251020926194,-0.01862246523350275,-0.022263809101832455,-0.005661526158431851,-0.058928748349252214,0.4163270689623872,-0.008754243208619616,-0.06477372152641458,0.008893978006035233,,9.47,0.94,2.34,-0.06000000000000005,0.0,0.0,0.8003377800104562,0.0,0.8003377800104562,1.0,1.0,1.0,0,0,0
1983-12-23,0.9986434578895569,-0.005692159199808811,-0.01872679027693358,-0.033210232666031514,-0.01318301816402856,-0.05924563822271567,0.4138713080226014,-0.016252340920240305,-0.06508864320373176,0.008913334486590197,,9.47,0.93,2.34,-0.039999999999999925,0.0,0.0,0.785796560000845,0.0,0.785796560000845,1.0,1.0,1.0,0,0,0
