date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1998-12-22,23.943206787109375,0.0,,,,,3.0564836215290283,,,,,4.76,0.11,2.57,,,0.0,1.0001888888888888,1.0001888888888888,0.0,0.2,0.2,1,0,0
1998-12-23,24.51523208618164,0.023890922555128924,,,,,3.1286197149145147,,,,,4.76,0.08,2.51,,,0.0,1.00037781345679,1.00037781345679,0.0,0.2,0.2,1,0,0
1998-12-24,24.421833038330078,-0.003809837391023807,0.01999006463404851,,,,3.1158176883575255,,,,,4.76,0.08,2.5,,,0.0,1.000566773710443,1.000566773710443,0.0,0.2,0.2,1,0,0
1998-12-28,24.49188995361328,0.0028686182226063117,-0.0009521481373825358,,,,3.1212181821041893,,,,,4.76,0.05,2.53,,,0.0,1.000755769656588,1.000755769656588,0.0,0.2,0.2,1,0,0
1998-12-29,24.561927795410156,0.0028596340229163353,0.005736455443790867,,,,3.1292574230848773,,,,,4.76,0.11,2.57,,,0.0,1.0009448013019675,1.0009448013019675,0.0,0.2,0.2,1,0,0
1998-12-30,24.46854019165039,-0.003802128421581674,-0.0009533670944591455,0.021940812240065055,,,3.116476903603532,,,,,4.76,0.09,2.61,,,0.0,1.0011338686533244,1.0011338686533244,0.0,0.2,0.2,1,0,0
1998-12-31,24.375144958496094,-0.0038169515803875287,-0.0076045674618816506,-0.005714289270975725,,,3.1037023993939967,,,,,4.76,0.11,2.58,,,0.0,1.0013229717174033,1.0013229717174033,0.0,0.2,0.2,1,0,0
1999-01-04,24.65532112121582,0.011494338318676078,0.007633513405477466,0.009560628906081003,,,3.1358232537305093,,,,,4.76,0.11,2.61,,,0.0,1.0015121105009497,1.0015121105009497,0.0,0.2,0.2,1,0,0
1999-01-05,25.28571128845215,0.025568118303431087,0.03735634522405862,0.03241159977210151,,,3.2150897426154486,,,,,4.76,0.1,2.61,,,0.0,1.001701285010711,1.001701285010711,0.0,0.2,0.2,1,0,0
1999-01-06,26.0328426361084,0.029547570923878386,0.055871165016269986,0.05988596876231789,,,3.3091505828806893,,,,,4.76,0.11,2.59,,,0.0,1.001890495253435,1.001890495253435,0.0,0.2,0.2,1,0,0
1999-01-07,25.951112747192383,-0.003139491528391658,0.026315315046886667,0.06059096880850712,,,3.2978274877726124,,,,,4.76,0.14,2.57,,,0.0,1.0020797412358717,1.0020797412358717,0.0,0.2,0.2,1,0,0
